OGName	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Strain	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Citation	Phylum	Class	Order	Family	Genus	species	Genus Trophic Mode	Genus Guild	PhyloName	Source	fungi_odb10_Complete	fungi_odb10_Single	fungi_odb10_Duplicated	fungi_odb10_Fragmented	fungi_odb10_Missing	fungi_odb10_n_markers	eukaryota_odb10_Complete	eukaryota_odb10_Single	eukaryota_odb10_Duplicated	eukaryota_odb10_Fragmented	eukaryota_odb10_Missing	eukaryota_odb10_n_markers
GCA_027604625.1.aa	GCA_027604625.1	ASM2760462v1	Blyttiomyces sp.	JEL0837	Annotation submitted by DOE Joint Genome Institute	46468325	Scaffold	1/9/23	JADGKC01	5646	12527	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619723	SAMN14534847	14135	13891		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales		Blyttiomyces 	sp.	Pathotroph	Plant Pathogen	Blyttiomyces sp. JEL0837 (GCA_027604625.1)	ref	81.8	73.5	8.3	1.8	16.4	758	85.9	79.2	6.7	3.9	10.2	255
GCA_027604185.1.aa	GCA_027604185.1	ASM2760418v1	Boothiomyces macroporosus	PLAUS21	Annotation submitted by University of Michigan	15700521	Contig	1/9/23	JADGKB01	109397		Illumina NextSeq	University of Michigan	PRJNA629979	SAMN14816286	7707	7605		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Boothiomyces 	macroporosus	Saprotroph	Undefined Saprotroph	Boothiomyces macroporosus PLAUS21 (GCA_027604185.1)	ref	58.8	55.1	3.7	4	37.2	758	64.7	60	4.7	5.5	29.8	255
GCA_027604245.1.aa	GCA_027604245.1	ASM2760424v1	Boothiomyces sp.	JEL0838	Annotation submitted by DOE Joint Genome Institute	12849375	Contig	1/9/23	JADIIY01	116125		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619751	SAMN14534844	6329	6264		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Boothiomyces 	sp.	Saprotroph	Undefined Saprotroph	Boothiomyces sp. JEL0838 (GCA_027604245.1)	ref	77.2	75.9	1.3	6.2	16.6	758	80.8	80	0.8	10.2	9	255
GCA_027604345.1.aa	GCA_027604345.1	ASM2760434v1	Boothiomyces sp.	JEL0866	Annotation submitted by DOE Joint Genome Institute	14241334	Contig	1/9/23	JADIIZ01	114768		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619753	SAMN14534850	7181	7120		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Boothiomyces 	sp.	Saprotroph	Undefined Saprotroph	Boothiomyces sp. JEL0866 (GCA_027604345.1)	ref	83.8	76.8	7	1.8	14.4	758	86.7	82.4	4.3	3.5	9.8	255
GCA_027604605.1.aa	GCA_027604605.1	ASM2760460v1	Borealophlyctis nickersoniae	WJD170	Annotation submitted by University of Michigan	38361113	Scaffold	1/9/23	JADGKA01	15930	16159	Illumina NextSeq	University of Michigan	PRJNA629981	SAMN14816287	11521	11278		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Borealophlyctidaceae	Borealophlyctis 	nickersoniae	Saprotroph	Undefined Saprotroph	Borealophlyctis nickersoniae WJD170 (GCA_027604605.1)	ref	70.5	69.3	1.2	9.1	20.4	758	76.5	75.7	0.8	11	12.5	255
Caecom1.aa	Caecom1	Caecom1	Caecomyces churrovis	A	Downloaded from the JGI	"165,495,782"	Contig									"15,009"			"Brown JL et al., 2021"	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Caecomyces  	churrovis	Symbiotroph	Animal Endosymbiont	Caecomyces churrovis A (JGI)	ref	87.1	1.2	85.9	0.5	12.4	758	89.4	0.8	88.6	0.8	9.8	255
GCA_002102555.1.aa	GCA_002102555.1	Catan2	Catenaria anguillulae	PL171	Annotation submitted by DOE Joint Genome Institute	41337528	Contig	4/20/17	MCFL01	217825		PacBio	DOE Joint Genome Institute	PRJNA330705	SAMN05421822	13266	12754	131	"Mondo SJ et al., 2017"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Catenariaceae	Catenaria 	anguillulae	Saprotroph	Undefined Saprotroph	Catenaria anguillulae PL171 (GCA_002102555.1)	ref	74.2	70.2	4	5.9	19.9	758	83.1	77.6	5.5	8.2	8.7	255
GCA_003615045.1.aa	GCA_003615045.1	Caupr1	Caulochytrium protostelioides	ATCC 52028	Annotation submitted by DOE Joint Genome Institute	21796879	Scaffold	10/5/18	QAJV01	88443	92490	Illumina	DOE Joint Genome Institute	PRJNA421608	SAMN08148457	6290	6168		"Ahrendt SR et al., 2018"	Chytridiomycota	Chytridiomycetes	Caulochytriales	Caulochytriaceae	Caulochytrium 	protostelioides	Pathotroph	Fungal Parasite	Caulochytrium protostelioides ATCC 52028 (GCA_003615045.1)	ref	67.7	67.2	0.5	8	24.3	758	84.7	83.9	0.8	6.7	8.6	255
GCA_027604305.1.aa	GCA_027604305.1	ASM2760430v1	Chytridiales sp.	JEL 0842	Annotation submitted by DOE Joint Genome Institute	26948520	Scaffold	1/9/23	JADGIY01	54795	72085	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619752	SAMN14534854	8827	8731		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiomycetes	Chytridiaceae	Chytridiales	sp.	Pathotroph-Saprotroph	Algal Parasite-Fungal Parasite-Undefined Saprotroph	Chytridiales sp. JEL 0842 (GCA_027604305.1)	ref	64.2	60.2	4	3.3	32.5	758	70.6	65.9	4.7	4.7	24.7	255
GCA_025449115.1.aa	GCA_025449115.1	Chylag1	Chytridium lagenaria	Arg66	Annotation submitted by DOE Joint Genome Institute	42380874	Contig	9/27/22	JAHLKC01	216171		PacBio	DOE Joint Genome Institute	PRJNA331556	SAMN05444510	14527	14269		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium 	lagenaria	Pathotroph	Plant Pathogen	Chytridium lagenaria Arg66 (GCA_025449115.1)	ref	85.6	81.9	3.7	3.2	11.2	758	89	85.1	3.9	3.5	7.5	255
GCA_025435555.1.aa	GCA_025435555.1	Chyhya1	Chytriomyces hyalinus 	JEL632	Annotation submitted by DOE Joint Genome Institute	38103441	Scaffold	9/27/22	JAIWWG01	312457	312457	PacBio	DOE Joint Genome Institute	PRJNA346871	SAMN05920684	15939	15515	2	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces 	hyalinus	Saprotroph	Undefined Saprotroph	Chytriomyces hyalinus  JEL632 (GCA_025435555.1)	ref	66.6	64.4	2.2	10.3	23.1	758	78.5	76.5	2	12.9	8.6	255
GCA_006535975.1.aa	GCA_006535975.1	ASM653597v1	Chytriomyces confervae	CBS 675.73	Annotation submitted by Agriculture and Agri-Food Canada	35973405	Scaffold	7/1/19	QEAP01	29705	44341	Illumina	Agriculture and Agri-Food Canada	PRJNA453741	SAMN08987275	10712	10712		van de Vossenberg et al 2019	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces 	confervae	Saprotroph	Undefined Saprotroph	Chytriomyces confervae CBS 675.73 (GCA_006535975.1)	ref	83.6	68.7	14.9	2.6	13.8	758	89.4	73.3	16.1	4.3	6.3	255
GCA_027604085.1.aa	GCA_027604085.1	ASM2760408v1	Chytriomyces hyalinus	JEL0345	Annotation submitted by DOE Joint Genome Institute	28404701	Contig	1/9/23	JADGJX01	41827		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619728	SAMN14511963	11439	11171		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces 	hyalinus	Saprotroph	Undefined Saprotroph	Chytriomyces hyalinus JEL0345 (GCA_027604085.1)	ref	83.6	73.2	10.4	2	14.4	758	85.5	78.4	7.1	3.5	11	255
GCA_027604105.1.aa	GCA_027604105.1	ASM2760410v1	Chytriomyces hyalinus	ARG121	Annotation submitted by DOE Joint Genome Institute	29515939	Contig	1/9/23	JADGJY01	52956		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619725	SAMN14511932	11881	11575		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces 	hyalinus	Saprotroph	Undefined Saprotroph	Chytriomyces hyalinus ARG121 (GCA_027604105.1)	ref	80.3	71.1	9.2	2.1	17.6	758	88.2	80	8.2	3.1	8.7	255
GCA_027604165.1.aa	GCA_027604165.1	ASM2760416v1	Chytriomyces hyalinus	ARG085	Annotation submitted by DOE Joint Genome Institute	29777168	Contig	1/9/23	JADGJZ01	50756		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619724	SAMN14511809	11874	11560		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces 	hyalinus	Saprotroph	Undefined Saprotroph	Chytriomyces hyalinus ARG085 (GCA_027604165.1)	ref	69.3	66.4	2.9	3.8	26.9	758	74.2	72.2	2	9.4	16.4	255
GCA_027604745.1.aa	GCA_027604745.1	ASM2760474v1	Chytriomyces hyalinus	JEL0176	Annotation submitted by DOE Joint Genome Institute	29467998	Contig	1/9/23	JADHYZ01	28612		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619727	SAMN14512104	11820	11511		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces 	hyalinus	Saprotroph	Undefined Saprotroph	Chytriomyces hyalinus JEL0176 (GCA_027604745.1)	ref	92.5	85.5	7	0.5	7	758	96.5	89	7.5	2.4	1.1	255
GCA_025201725.1.aa	GCA_025201725.1	Chytri1	Chytriomyces sp.	MP71	Annotation submitted by DOE Joint Genome Institute	36383760	Scaffold	9/8/22	JAIXME01	34310	45725	Illumina	DOE Joint Genome Institute	PRJNA331557	SAMN05519258	16156	16046	3	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces 	sp.	Saprotroph	Undefined Saprotroph	Chytriomyces sp. MP71 (GCA_025201725.1)	ref	72.3	71.6	0.7	7.9	19.8	758	84.3	84.3	0	6.7	9	255
GCA_025526935.1.aa	GCA_025526935.1	Clarep1_1	Cladochytrium replicatum	JEL 714	Annotation submitted by DOE Joint Genome Institute	50665862	Contig	9/27/22	JAHLKD01	394289		PacBio	DOE Joint Genome Institute	PRJNA346872	SAMN05877945	16604	16305	35	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Cladochytriales	Cladochytriaceae	Cladochytrium 	replicatum	Pathotroph	Plant Pathogen	Cladochytrium replicatum JEL 714 (GCA_025526935.1)	ref	86	84.8	1.2	2.4	11.6	758	90.6	90.2	0.4	3.9	5.5	255
GCA_026954515.1.aa	GCA_026954515.1	ASM2695451v1	Cladochytrium tenue	CCIBt4013	Annotation submitted by University of Michigan	48956424	Scaffold	12/16/22	JADGKE01	4907	5135	Illumina NextSeq	University of Michigan	PRJNA630055	SAMN14820662	16105	15890		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Cladochytriales	Cladochytriaceae	Cladochytrium 	tenue	Pathotroph	Plant Pathogen	Cladochytrium tenue CCIBt4013 (GCA_026954515.1)	ref	51.8	47.1	4.7	14.4	33.8	758	61.1	58	3.1	19.6	19.3	255
GCA_027604065.1.aa	GCA_027604065.1	ASM2760406v1	Clydaea vesicula	JEL0476	Annotation submitted by University of Michigan	24650228	Scaffold	1/9/23	JADGJW01	14665	24845	Illumina NextSeq	University of Michigan	PRJNA629973	SAMN14815130	8737	8647		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Clydaea 	vesicula	NA	NA	Clydaea vesicula JEL0476 (GCA_027604065.1)	ref	78.7	71.4	7.3	2.4	18.9	758	82.3	78.8	3.5	5.1	12.6	255
GCA_026928455.1.aa	GCA_026928455.1	CoeloLatAmber_1.0_UCR	Coelomomyces lativittatus	CIRM-AVA-1-Amber	"Annotation submitted by University of California, Riverside"	22882397	Scaffold	12/16/22	JADGJV01	4496	6067	Illumina HiSeq	"University of California, Riverside"	PRJNA631428	SAMN14860514	7404	7352		"Ettinger et al, 2023"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Coelomomycetaceae	Coelomomyces 	lativittatus	Pathotroph	Animal Pathogen	Coelomomyces lativittatus CIRM-AVA-1-Amber (GCA_026928455.1)	ref	37	36.9	0.1	18.9	44.1	758	55.3	55.3	0	18.4	26.3	255
GCA_026937105.1.aa	GCA_026937105.1	CoeloLatOrange_1.0_UCR	Coelomomyces lativittatus	CIRM-AVA-1-Orange	"Annotation submitted by University of California, Riverside"	19883822	Scaffold	12/16/22	JADHYY01	3898	5623	Illumina HiSeq	"University of California, Riverside"	PRJNA631429	SAMN14860515	7344	7289		"Ettinger et al, 2023"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Coelomomycetaceae	Coelomomyces 	lativittatus	Pathotroph	Animal Pathogen	Coelomomyces lativittatus CIRM-AVA-1-Orange (GCA_026937105.1)	ref	48.7	48.3	0.4	15.2	36.1	758	67.1	66.7	0.4	19.2	13.7	255
GCA_026937265.1.aa	GCA_026937265.1	CoeloLatMeio_1.0_UCR	Coelomomyces lativittatus	CIRM-AVA-1-Meiospore	"Annotation submitted by University of California, Riverside"	21857322	Scaffold	12/16/22	JADGJU01	5369	6695	Illumina HiSeq	"University of California, Riverside"	PRJNA631430	SAMN14860517	7677	7608		"Ettinger et al, 2023"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Coelomomycetaceae	Coelomomyces 	lativittatus	Pathotroph	Animal Pathogen	Coelomomyces lativittatus CIRM-AVA-1-Meiospore (GCA_026937265.1)	ref	43.9	36.5	7.4	18.6	37.5	758	48.3	41.6	6.7	29	22.7	255
Seagrass.aa	Seagrass	SGCOL	Colletotrichum sp. 	CLE4	"Annotation submitted by University of California, Riverside"	48026924	Contig	NA	NA	506655	NA	Illumina HiSeq	NA	NA	NA	12015	11678	NA	Ettinger et al TBD	Ascomycota	Glomerellales	Glomerellales	Glomerellaceae	Colletotrichum	sp.	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Colletotrichum sp.  CLE4 (TBD - this study)	ref	99.7	99.6	0.1	0.1	0.2	758	96.9	96.9	0	0.8	2.3	255
GCA_027604005.1.aa	GCA_027604005.1	ASM2760400v1	Dinochytrium kinnereticum	KLL_TL_06062013	Annotation submitted by DOE Joint Genome Institute	31510542	Scaffold	1/9/23	JADGJT01	24847	39098	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619580	SAMN14511961	10444	10332		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Dinochytrium 	kinnereticum	Pathotroph	Protistan Parasite	Dinochytrium kinnereticum KLL_TL_06062013 (GCA_027604005.1)	ref	73.4	71.4	2	8.2	18.4	758	80.4	79.2	1.2	8.2	11.4	255
GCA_025526915.1.aa	GCA_025526915.1	Enthel1	Entophlyctis helioformis	JEL805	Annotation submitted by DOE Joint Genome Institute	30915201	Contig	9/30/22	JAHLKH01	103262		53.07x	DOE Joint Genome Institute	PRJNA331558	SAMN05444511	10408	10116	3	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Entophlyctis 	helioformis	Saprotroph	Undefined Saprotroph	Entophlyctis helioformis JEL805 (GCA_025526915.1)	ref	92.1	54.1	38	1.8	6.1	758	94.9	60.4	34.5	2.4	2.7	255
GCA_027603655.1.aa	GCA_027603655.1	ASM2760365v1	Entophlyctis luteolus	JEL0120	Annotation submitted by DOE Joint Genome Institute	25900143	Contig	1/9/23	JADGJS01	16966		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619729	SAMN14512002	9330	9099		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Entophlyctis 	luteolus	Saprotroph	Undefined Saprotroph	Entophlyctis luteolus JEL0120 (GCA_027603655.1)	ref	72.4	67.8	4.6	4.5	23.1	758	78.8	73.3	5.5	7.1	14.1	255
GCA_027604725.1.aa	GCA_027604725.1	ASM2760472v1	Entophlyctis luteolus	JEL0129	Annotation submitted by DOE Joint Genome Institute	27694625	Scaffold	1/9/23	JADHYT01	53121	68043	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619730	SAMN14511964	9984	9698		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Entophlyctis 	luteolus	Saprotroph	Undefined Saprotroph	Entophlyctis luteolus JEL0129 (GCA_027604725.1)	ref	79.8	71.8	8	3	17.2	758	80.8	75.3	5.5	5.5	13.7	255
GCA_027604545.1.aa	GCA_027604545.1	ASM2760454v1	Entophlyctis sp.	JEL0112	Annotation submitted by DOE Joint Genome Institute	26962913	Scaffold	1/9/23	JADHYW01	25538	48027	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619731	SAMN14534855	9896	9626		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Entophlyctis 	sp.	Saprotroph	Undefined Saprotroph	Entophlyctis sp. JEL0112 (GCA_027604545.1)	ref	82.8	79.8	3	5.5	11.7	758	80.8	79.2	1.6	5.9	13.3	255
GCA_025526975.1.aa	GCA_025526975.1	Fimjon1	Fimicolochytrium jonesii	JEL569	Annotation submitted by DOE Joint Genome Institute	30619153	Contig	9/27/22	JAHLJU01	799348		PacBio	DOE Joint Genome Institute	PRJNA519863	SAMN10865777	10238	10067	20	"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Fimicolochytrium 	jonesii	Pathotroph	Plant Pathogen	Fimicolochytrium jonesii JEL569 (GCA_025526975.1)	ref	95	92.2	2.8	0.4	4.6	758	97.3	96.5	0.8	1.6	1.1	255
GCF_000240135.3.aa	GCF_000240135.3	ASM24013v3	Fusarium graminearum	PH-1	Annotation submitted by International Gibberella zeae Genomics Consortium	36458046	Chromosome	11/21/08	AACM02	184591	5350016		International Gibberella zeae Genomics Consortium	PRJNA13839	SAMN02953593	13726	13313	11	"Cuomo CA et al., 2007"	Ascomycota	Hypocreales	Hypocreales	Nectriaceae	Fusarium	graminearum	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Fusarium graminearum PH-1 (GCF_000240135.3)	ref	97.9	97.8	0.1	0.4	1.7	758	98.8	98.8	0	0.4	0.8	255
GCA_025558075.1.aa	GCA_025558075.1	Gaesem1	Gaertneriomyces semiglobifer	Barr 43	Annotation submitted by DOE Joint Genome Institute	20918219	Contig	10/3/22	JAHLKF01	575746		PacBio	DOE Joint Genome Institute	PRJNA331559	SAMN05444512	8899	8713		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Gaertneriomyces 	semiglobifer	Pathotroph	Plant Pathogen	Gaertneriomyces semiglobifer Barr 43 (GCA_025558075.1)	ref	85.3	84.6	0.7	3.2	11.5	758	92.9	92.9	0	4.3	2.8	255
GCA_027603645.1.aa	GCA_027603645.1	ASM2760364v1	Gaertneriomyces sp. 	JEL0708	Annotation submitted by DOE Joint Genome Institute	20557201	Scaffold	1/9/23	JADGJR01	315491	558018	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619732	SAMN14534835	7840	7636		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Gaertneriomyces 	sp.	Pathotroph	Plant Pathogen	Gaertneriomyces sp.  JEL0708 (GCA_027603645.1)	ref	66.2	59.6	6.6	9.2	24.6	758	75.3	72.2	3.1	12.2	12.5	255
GCA_027602005.1.aa	GCA_027602005.1	ASM2760200v1	Geranomyces michiganensis	JEL0563	Annotation submitted by DOE Joint Genome Institute	23465858	Scaffold	1/9/23	JADGJO01	133042	269724	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA619733	SAMN14511933	8550	8389		"Amses KR et al., 2022"	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	michiganensis	Saprotroph	Undefined Saprotroph	Geranomyces michiganensis JEL0563 (GCA_027602005.1)	ref	92.7	90.1	2.6	0.8	6.5	758	93.8	92.2	1.6	2.7	3.5	255
