"sel","_id","gc","length","W_Bin_194-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","72","0.5093","1445","383.4588","no-hit","no-hit","c_000003250052"
"","73","0.4847","1601","6.1237","Eukaryota","Bacillariophyta","c_000004270869"
"","74","0.4833","1105","5.6344","no-hit","no-hit","c_000003424065"
"","75","0.4714","1432","11.611","no-hit","no-hit","c_000005166768"
"","76","0.5083","1139","6.043","no-hit","no-hit","c_000003193217"
"","77","0.4766","1154","5.0693","Eukaryota","Bacillariophyta","c_000003861642"
"","78","0.4882","1268","3.1215","Eukaryota","Bacillariophyta","c_000000255859"
"","79","0.4747","1662","8.4735","Eukaryota","Bacillariophyta","c_000003781212"
"","80","0.4738","1353","5.1552","no-hit","no-hit","c_000004381978"
"","81","0.5038","1052","3.7614","no-hit","no-hit","c_000000368730"
"","82","0.5074","1009","4.3112","Eukaryota","Bacillariophyta","c_000002801333"
"","83","0.4618","1282","6.9259","no-hit","no-hit","c_000001826751"
"","84","0.4756","2277","3.469","Eukaryota","Bacillariophyta","c_000002534555"
"","85","0.4714","1661","229.2131","no-hit","no-hit","c_000002819928"
"","86","0.4961","2187","7.3626","Eukaryota","Bacillariophyta","c_000004982017"
"","87","0.4972","1959","4.4441","Eukaryota","Bacillariophyta","c_000001427414"
"","88","0.4971","1020","6.5363","no-hit","no-hit","c_000000170890"
"","89","0.4841","1384","4.966","no-hit","no-hit","c_000003825047"
"","90","0.4954","2376","8.3035","Eukaryota","Bacillariophyta","c_000003149536"
"","92","0.5019","2062","5.1402","no-hit","no-hit","c_000000067505"
"","93","0.4789","1065","8.7925","no-hit","no-hit","c_000001505747"
"","94","0.4759","1805","5.738","no-hit","no-hit","c_000002675094"
"","95","0.5166","1833","5.9389","Eukaryota","Bacillariophyta","c_000000293421"
"","96","0.4899","2121","5.8388","no-hit","no-hit","c_000005450958"
"","97","0.4887","1322","3.7844","no-hit","no-hit","c_000000210961"
"","98","0.4732","1866","7.1844","Eukaryota","Bacillariophyta","c_000000979435"
"","99","0.4971","1356","7.1025","Eukaryota","Bacillariophyta","c_000005154520"
"","100","0.4731","1917","8.5707","Eukaryota","Bacillariophyta","c_000000792129"
"","101","0.483","1584","6.3693","Eukaryota","Bacillariophyta","c_000003182543"
"","102","0.5017","2316","3.747","Eukaryota","Bacillariophyta","c_000005498643"
"","103","0.4712","1543","6.2579","no-hit","no-hit","c_000004104920"
"","104","0.4638","1229","7.2408","Eukaryota","Bacillariophyta","c_000002445363"
"","105","0.4881","1430","6.3434","no-hit","no-hit","c_000004418882"
"","106","0.4825","1888","4.2511","Eukaryota","Bacillariophyta","c_000002624417"
"","107","0.484","1283","4.3063","no-hit","no-hit","c_000001583415"
"","108","0.5007","2073","6.3739","Eukaryota","Bacillariophyta","c_000000687678"
"","109","0.5025","1612","6.6266","Eukaryota","Bacillariophyta","c_000003917862"
"","110","0.4636","1458","5.8436","Eukaryota","Bacillariophyta","c_000001699221"
"","111","0.4625","1548","6.0562","Eukaryota","Bacillariophyta","c_000002306081"
"","112","0.4473","1310","8.8344","Eukaryota","Bacillariophyta","c_000005507896"
"","113","0.495","1198","2.929","Eukaryota","Bacillariophyta","c_000002337100"
"","114","0.4758","1032","5.4661","Eukaryota","Bacillariophyta","c_000000366039"
"","115","0.4896","1497","6.6293","Eukaryota","Bacillariophyta","c_000003084617"
"","116","0.4992","1801","5.1288","no-hit","no-hit","c_000005444219"
"","117","0.4661","1326","8.7029","no-hit","no-hit","c_000004652887"
"","118","0.5198","4661","3.6237","Eukaryota","Bacillariophyta","c_000001741243"
"","119","0.4845","1969","9.967","no-hit","no-hit","c_000004528803"
"","120","0.4933","1482","7.5277","Eukaryota","Bacillariophyta","c_000001472658"
"","121","0.4943","1319","7.4246","Eukaryota","Bacillariophyta","c_000002962098"
"","122","0.4909","1542","24.0778","Eukaryota","Bacillariophyta","c_000000414529"
"","123","0.4935","1538","5.0969","Eukaryota","Bacillariophyta","c_000002595612"
"","124","0.4768","2496","6.1118","no-hit","no-hit","c_000002468568"
"","125","0.4987","1570","5.9943","Eukaryota","Bacillariophyta","c_000000029909"
"","126","0.4754","1136","6.485","Eukaryota","Bacillariophyta","c_000001178027"
"","127","0.4986","3145","5.8518","Eukaryota","Bacillariophyta","c_000004653571"
"","128","0.4736","1911","6.1408","Eukaryota","Bacillariophyta","c_000001262587"
"","129","0.4503","1297","4.9491","Eukaryota","Bacillariophyta","c_000001354802"
"","130","0.481","1790","4.362","no-hit","no-hit","c_000001383367"
"","131","0.47","1902","4.7871","no-hit","no-hit","c_000004707339"
"","132","0.457","1396","8.447","no-hit","no-hit","c_000002526684"
"","133","0.4898","1074","4.8492","Eukaryota","Bacillariophyta","c_000001116345"
"","134","0.4415","2591","6.276","Eukaryota","Bacillariophyta","c_000001303947"
"","135","0.4741","1485","7.0694","no-hit","no-hit","c_000001762582"
"","136","0.4762","1094","6.7276","no-hit","no-hit","c_000001676052"
"","137","0.4886","2368","6.2145","Eukaryota","Bacillariophyta","c_000003086218"
"","138","0.4756","1003","8.004","no-hit","no-hit","c_000001213836"
"","139","0.4883","1151","6.3901","no-hit","no-hit","c_000000963195"
"","140","0.4804","1709","4.6946","no-hit","no-hit","c_000004979591"
"","141","0.4792","1659","6.0199","Eukaryota","Bacillariophyta","c_000001831070"
"","142","0.4867","1313","10.1493","Eukaryota","Bacillariophyta","c_000002281403"
"","143","0.4897","1501","6.0127","Eukaryota","Bacillariophyta","c_000003350324"
"","144","0.4728","1121","4.7279","no-hit","no-hit","c_000003460937"
"","145","0.4917","1619","3.105","no-hit","no-hit","c_000002294275"
"","146","0.5079","1327","22.3323","no-hit","no-hit","c_000005239881"
"","147","0.5015","1713","5.9784","Eukaryota","Bacillariophyta","c_000004393043"
"","148","0.4819","1598","8.0463","Eukaryota","Bacillariophyta","c_000005131944"
"","149","0.5098","1530","6.2444","Eukaryota","Bacillariophyta","c_000000867631"
"","150","0.4538","1644","2.8157","no-hit","no-hit","c_000003634583"
"","151","0.4712","1424","6.257","Eukaryota","Bacillariophyta","c_000002550992"
"","152","0.4737","1803","6.6334","no-hit","no-hit","c_000003445550"
"","153","0.4883","1712","6.2004","Eukaryota","Discosea","c_000000502828"
"","154","0.4492","1191","4.8421","Eukaryota","Bacillariophyta","c_000003934776"
"","155","0.4895","1865","6.1314","no-hit","no-hit","c_000004776253"
"","156","0.5044","1029","5.5335","Eukaryota","Rhodophyta","c_000001616916"
"","157","0.4727","1536","5.2572","no-hit","no-hit","c_000000211520"
"","158","0.5037","2823","4.9784","Eukaryota","Bacillariophyta","c_000004180609"
"","159","0.473","2095","5.4764","no-hit","no-hit","c_000003007794"
"","160","0.4477","1472","11.8288","no-hit","no-hit","c_000002711817"
"","161","0.4871","1164","5.1486","Eukaryota","Bacillariophyta","c_000000240327"
"","162","0.4867","1724","6.5766","Eukaryota","Haptophyta","c_000000606743"
"","163","0.4885","1089","5.9192","no-hit","no-hit","c_000002877077"
"","165","0.4738","1220","5.1246","Eukaryota","Bacillariophyta","c_000004958071"
"","166","0.4732","2384","5.1812","Eukaryota","Bacillariophyta","c_000001306860"
"","167","0.4737","1695","7.226","Eukaryota","Bacillariophyta","c_000003201245"
"","168","0.4732","1659","7.7251","Eukaryota","Bacillariophyta","c_000003640382"
"","169","0.4785","1348","1.7915","Eukaryota","Bacillariophyta","c_000002788980"
"","170","0.4724","1033","5.9013","Eukaryota","Bacillariophyta","c_000001390600"
"","171","0.4754","1765","7.8017","Eukaryota","Bacillariophyta","c_000001235554"
"","172","0.4981","2379","3.8188","Eukaryota","Bacillariophyta","c_000002122616"
"","173","0.5011","1854","4.8954","Eukaryota","Bacillariophyta","c_000004573337"
"","174","0.4745","2080","8.0212","no-hit","no-hit","c_000000013128"
"","175","0.4674","1042","4.333","no-hit","no-hit","c_000004003250"
"","176","0.4473","1073","5.1566","no-hit","no-hit","c_000000524586"
"","177","0.4782","2083","7.8464","Eukaryota","Bacillariophyta","c_000003926892"
"","178","0.5071","1828","6.9595","Eukaryota","Bacillariophyta","c_000000198710"
"","179","0.4952","1472","5.5516","no-hit","no-hit","c_000001018927"
"","180","0.4759","1160","4.431","no-hit","no-hit","c_000002197057"
"","181","0.4983","1186","4.4798","no-hit","no-hit","c_000000260048"
"","182","0.4837","3907","7.6179","Eukaryota","Bacillariophyta","c_000000743800"
"","183","0.4839","1711","6.7276","Eukaryota","Bacillariophyta","c_000000134480"
"","184","0.4951","1226","8.8002","no-hit","no-hit","c_000001653261"
"","185","0.4767","2121","7.3635","Eukaryota","Chordata","c_000004918466"
"","186","0.4946","2485","3.8736","no-hit","no-hit","c_000004671943"
"","187","0.4701","3157","6.2787","no-hit","no-hit","c_000003925936"
"","188","0.445","1027","3.9776","no-hit","no-hit","c_000002706806"
"","189","0.5026","1136","8.0018","Eukaryota","Bacillariophyta","c_000003960406"
"","190","0.4513","3071","2.787","no-hit","no-hit","c_000001281427"
"","191","0.5014","2180","5.2417","Eukaryota","Bacillariophyta","c_000001737589"
"","192","0.4979","1396","4.7679","Eukaryota","Bacillariophyta","c_000002155391"
"","193","0.4855","1240","6.354","Eukaryota","Bacillariophyta","c_000000283636"
"","194","0.5074","1283","3.6212","Eukaryota","Bacillariophyta","c_000004377973"
"","195","0.4767","1802","6.3441","Eukaryota","Bacillariophyta","c_000000249392"
"","196","0.4925","3655","7.7475","Eukaryota","Bacillariophyta","c_000002651980"
"","197","0.4632","2267","4.4468","no-hit","no-hit","c_000001701510"
"","198","0.4909","1872","6.133","no-hit","no-hit","c_000003051762"
"","199","0.4679","2757","3.025","no-hit","no-hit","c_000002115908"
"","200","0.4773","1433","4.7627","no-hit","no-hit","c_000000600026"
"","201","0.4844","2754","5.5218","Eukaryota","Haptophyta","c_000003966659"
"","202","0.4773","4624","7.2481","Eukaryota","Bacillariophyta","c_000003602075"
"","203","0.4719","2494","3.2109","no-hit","no-hit","c_000001250525"
"","204","0.4772","1624","4.6502","Eukaryota","Bacillariophyta","c_000002674443"
"","205","0.473","2224","7.0751","no-hit","no-hit","c_000003602487"
"","206","0.4739","1475","5.3173","no-hit","no-hit","c_000002052125"
"","207","0.4761","2989","6.2024","Eukaryota","Bacillariophyta","c_000004925019"
"","208","0.4839","1682","5.4191","no-hit","no-hit","c_000000712017"
"","209","0.4935","2863","5.6605","Eukaryota","Bacillariophyta","c_000004377353"
"","210","0.4861","1685","5.4653","Eukaryota","Eukaryota-undef","c_000000320435"
"","211","0.488","1457","6.5752","Eukaryota","Bacillariophyta","c_000000036599"
"","212","0.5032","2365","4.9142","Eukaryota","Bacillariophyta","c_000005094739"
"","213","0.4901","1114","5.7747","no-hit","no-hit","c_000005332181"
"","214","0.4725","1291","2.2308","no-hit","no-hit","c_000001805226"
"","215","0.4519","1164","7.5335","Eukaryota","Oomycota","c_000001630568"
"","216","0.4702","1595","5.1028","Eukaryota","Bacillariophyta","c_000003995363"
"","217","0.4748","1371","8.5945","Eukaryota","Bacillariophyta","c_000004702668"
"","218","0.4928","1597","4.159","Eukaryota","Bacillariophyta","c_000003778762"
"","220","0.485","1697","7.0118","no-hit","no-hit","c_000004286604"
"","221","0.4768","1573","5.4431","Eukaryota","Bacillariophyta","c_000003879676"
"","222","0.4767","2383","7.8687","no-hit","no-hit","c_000001252369"
"","223","0.4891","1282","8.4009","no-hit","no-hit","c_000001185611"
"","224","0.4817","1312","2.9459","Eukaryota","Mucoromycota","c_000004269553"
"","225","0.4887","1643","6.9209","Eukaryota","Bacillariophyta","c_000002700291"
"","226","0.5024","2056","7.0866","Eukaryota","Chytridiomycota","c_000001579145"
"","227","0.4703","1652","2.523","no-hit","no-hit","c_000005482052"
"","228","0.4964","1672","6.0311","Eukaryota","Bacillariophyta","c_000005067639"
"","229","0.4885","1310","6.1634","Eukaryota","Bacillariophyta","c_000002691254"
"","230","0.4827","1709","6.9795","Eukaryota","Bacillariophyta","c_000003504334"
"","231","0.4679","1105","9.057","no-hit","no-hit","c_000003632084"
"","232","0.5211","1301","119.3836","Eukaryota","Bacillariophyta","c_000005505892"
"","233","0.4652","2010","7.5806","no-hit","no-hit","c_000005252970"
"","234","0.4761","1130","5.0549","no-hit","no-hit","c_000000244362"
"","235","0.4837","1776","5.3474","no-hit","no-hit","c_000004649650"
"","236","0.5062","1697","4.723","Eukaryota","Bacillariophyta","c_000003410240"
"","237","0.4932","1701","4.0905","no-hit","no-hit","c_000004503005"
"","238","0.4722","1923","8.0541","no-hit","no-hit","c_000000521174"
"","239","0.4934","1210","7.2496","no-hit","no-hit","c_000001334323"
"","240","0.4758","1324","3.2795","no-hit","no-hit","c_000004844526"
"","241","0.5053","2444","4.3752","Eukaryota","Bacillariophyta","c_000004086889"
"","242","0.4687","1278","5.8764","Eukaryota","Bacillariophyta","c_000004872816"
"","243","0.4997","1845","3.8846","no-hit","no-hit","c_000005127058"
"","244","0.4872","1209","6.5219","no-hit","no-hit","c_000004449920"
"","245","0.4607","1756","2.6856","no-hit","no-hit","c_000004298891"
"","246","0.4941","1787","5.887","no-hit","no-hit","c_000000322283"
"","247","0.493","1870","4.8513","Eukaryota","Bacillariophyta","c_000003721505"
"","248","0.4826","1295","5.7498","no-hit","no-hit","c_000004357454"
"","249","0.4979","1922","5.3913","Eukaryota","Bacillariophyta","c_000002812417"
"","250","0.502","1502","5.2517","Eukaryota","Bacillariophyta","c_000003034120"
"","251","0.4571","1120","5.0857","no-hit","no-hit","c_000001785025"
"","252","0.4797","2170","5.4461","Eukaryota","Bacillariophyta","c_000002418633"
"","253","0.4819","1461","2.6831","Eukaryota","Bacillariophyta","c_000003901680"
"","254","0.4887","3284","7.5277","Eukaryota","Bacillariophyta","c_000000407080"
"","255","0.4958","1543","4.6286","Eukaryota","Bacillariophyta","c_000005047539"
"","256","0.4946","3530","4.4014","Eukaryota","Bacillariophyta","c_000004280087"
"","257","0.4941","1951","8.8037","Eukaryota","Bacillariophyta","c_000002884270"
"","258","0.464","1780","9.3539","Eukaryota","Bacillariophyta","c_000002895659"
"","259","0.4941","1188","7.4806","Eukaryota","Bacillariophyta","c_000005391559"
"","260","0.4893","2886","7.7169","Eukaryota","Bacillariophyta","c_000001140238"
"","261","0.4887","1985","7.0741","Eukaryota","Bacillariophyta","c_000001818843"
"","262","0.4697","1631","6.8529","Eukaryota","Bacillariophyta","c_000004677900"
"","263","0.4744","1075","3.6437","no-hit","no-hit","c_000002274188"
"","264","0.508","1069","8.9317","Eukaryota","Bacillariophyta","c_000003573538"
"","265","0.4783","1545","5.3113","Eukaryota","Bacillariophyta","c_000003792591"
"","266","0.4845","1197","5.5414","no-hit","no-hit","c_000005078068"
"","267","0.4687","1485","2.3306","Eukaryota","Bacillariophyta","c_000002662063"
"","268","0.4909","1534","7.822","no-hit","no-hit","c_000001041885"
"","269","0.4804","1936","4.5145","no-hit","no-hit","c_000000820878"
"","270","0.4793","2105","6.362","Eukaryota","Bacillariophyta","c_000000440812"
"","271","0.4939","1152","7.1849","Eukaryota","Bacillariophyta","c_000005112837"
"","272","0.5038","1586","28.4704","Eukaryota","Bacillariophyta","c_000004416628"
"","273","0.4536","1402","7.2789","Eukaryota","Bacillariophyta","c_000002528412"
"","274","0.5088","1250","3.7056","Eukaryota","Oomycota","c_000003260383"
"","275","0.4769","2166","2.7211","no-hit","no-hit","c_000002794286"
"","276","0.5019","2624","7.3982","Eukaryota","Bacillariophyta","c_000003292390"
"","277","0.4756","1375","11.0785","no-hit","no-hit","c_000001533548"
"","278","0.504","1252","4.7796","Eukaryota","Bacillariophyta","c_000003647111"
"","279","0.4868","1898","6.4046","Eukaryota","Bacillariophyta","c_000001162063"
"","280","0.4516","1601","10.4122","Eukaryota","Bacillariophyta","c_000002220509"
"","281","0.4577","1147","6.3383","no-hit","no-hit","c_000004030791"
"","282","0.5077","1629","6.3315","Eukaryota","Bacillariophyta","c_000002187817"
"","283","0.488","2885","10.3456","no-hit","no-hit","c_000000395279"
"","284","0.4732","1773","8.9267","no-hit","no-hit","c_000000547296"
"","285","0.4676","1912","5.4833","Eukaryota","Bacillariophyta","c_000002122932"
"","286","0.4947","2278","6.7783","Eukaryota","Bacillariophyta","c_000001174380"
"","287","0.4935","1923","8.6651","Eukaryota","Bacillariophyta","c_000001590650"
"","288","0.4588","1201","6.353","no-hit","no-hit","c_000000127978"
"","289","0.5036","1646","4.63","Eukaryota","Bacillariophyta","c_000001232563"
"","291","0.502","1468","5.8283","Eukaryota","Bacillariophyta","c_000005219326"
"","292","0.4749","1592","3.1388","Eukaryota","Bacillariophyta","c_000003421367"
"","293","0.493","1428","7.7612","no-hit","no-hit","c_000002068631"
"","294","0.498","1968","5.1397","Eukaryota","Bacillariophyta","c_000004479601"
"","295","0.4701","1053","5.0769","Eukaryota","Bacillariophyta","c_000005275422"
"","296","0.4665","1893","38.7169","no-hit","no-hit","c_000001860479"
"","297","0.4977","1065","4.0526","no-hit","no-hit","c_000003380478"
"","298","0.4946","2487","10.0511","Eukaryota","Bacillariophyta","c_000003556500"
"","299","0.4924","2049","3.6418","no-hit","no-hit","c_000004508348"
"","300","0.484","1372","3.121","Eukaryota","Bacillariophyta","c_000003321696"
"","301","0.4754","1239","9.9806","Eukaryota","Bacillariophyta","c_000002319792"
"","302","0.4883","1243","5.3958","no-hit","no-hit","c_000001456885"
"","303","0.4616","1094","3.372","no-hit","no-hit","c_000000125833"
"","304","0.5303","1784","5.3498","Eukaryota","Bacillariophyta","c_000000327005"
"","305","0.4562","2931","5.6465","Eukaryota","Bacillariophyta","c_000003469563"
"","306","0.4787","1103","8.2801","no-hit","no-hit","c_000003339648"
"","307","0.4707","2252","6.5013","Eukaryota","Bacillariophyta","c_000000770008"
"","308","0.4911","1578","4.3904","Eukaryota","Bacillariophyta","c_000002089744"
"","309","0.4659","3595","4.7129","no-hit","no-hit","c_000000621032"
"","310","0.498","1253","5.8348","Eukaryota","Bacillariophyta","c_000002155880"
"","311","0.466","2000","7.4305","no-hit","no-hit","c_000000162355"
"","312","0.4762","1178","6.9771","Eukaryota","Bacillariophyta","c_000003767988"
"","313","0.4807","2172","8.3794","Eukaryota","Bacillariophyta","c_000000792374"
"","314","0.4919","1793","5.3781","Eukaryota","Platyhelminthes","c_000003443118"
"","315","0.5049","1442","6.4938","Eukaryota","Bacillariophyta","c_000003769148"
"","316","0.4885","1830","6.1284","Eukaryota","Bacillariophyta","c_000005296266"
"","317","0.4825","1198","3.8765","Eukaryota","Bacillariophyta","c_000005380336"
"","318","0.4818","1760","7.5801","no-hit","no-hit","c_000004314307"
"","319","0.458","2498","140.7782","Eukaryota","Bacillariophyta","c_000005265476"
"","320","0.4826","2963","7.6288","Eukaryota","Bacillariophyta","c_000002762547"
"","321","0.4691","2298","4.9795","no-hit","no-hit","c_000002234403"
"","322","0.5139","1767","6.1596","Eukaryota","Bacillariophyta","c_000004673068"
"","323","0.4633","1280","3.6625","no-hit","no-hit","c_000002931048"
"","324","0.4817","1856","7.7543","Eukaryota","Bacillariophyta","c_000003670662"
"","325","0.4955","1005","9.3204","Eukaryota","Bacillariophyta","c_000000546629"
"","326","0.4698","1769","5.6269","no-hit","no-hit","c_000005492479"
"","327","0.4667","1260","41.2032","Eukaryota","Bacillariophyta","c_000001985891"
"","328","0.4817","1999","4.7004","Eukaryota","Chlorophyta","c_000002369374"
"","329","0.4865","1371","5.0853","Eukaryota","Bacillariophyta","c_000002457565"
"","330","0.49","1796","4.3675","no-hit","no-hit","c_000005492197"
"","331","0.4921","2335","27.0655","no-hit","no-hit","c_000001485233"
"","332","0.4819","1218","5.9688","Eukaryota","Bacillariophyta","c_000000807448"
"","333","0.4901","1571","8.6321","Eukaryota","Bacillariophyta","c_000001989321"
"","334","0.4901","2126","4.9389","no-hit","no-hit","c_000001296110"
"","335","0.4956","1019","6.4181","Eukaryota","Bacillariophyta","c_000002078246"
"","336","0.5054","1470","8.7347","no-hit","no-hit","c_000004895198"
"","337","0.4836","1131","9.3943","no-hit","no-hit","c_000003105103"
"","338","0.4851","1076","4.4535","Eukaryota","Bacillariophyta","c_000005342935"
"","339","0.493","1791","5.0374","no-hit","no-hit","c_000004570589"
"","340","0.4966","1464","5.3948","Eukaryota","Bacillariophyta","c_000001327308"
"","341","0.4627","2464","5.5617","no-hit","no-hit","c_000000779935"
"","342","0.4878","2382","4.7028","no-hit","no-hit","c_000005252262"
"","343","0.4785","1022","13.0763","Eukaryota","Bacillariophyta","c_000001030300"
"","344","0.4901","1310","6.2328","Eukaryota","Bacillariophyta","c_000001143315"
"","345","0.4838","1542","9.1323","Eukaryota","Bacillariophyta","c_000001507056"
"","346","0.4799","1119","4.151","Eukaryota","Bacillariophyta","c_000000160240"
"","347","0.4766","1259","6.8769","Eukaryota","Bacillariophyta","c_000000806408"
"","348","0.4722","2120","6.6698","no-hit","no-hit","c_000002281455"
"","349","0.4661","1268","8.3375","Eukaryota","Bacillariophyta","c_000005095642"
"","350","0.4734","1164","3.11","Eukaryota","Bacillariophyta","c_000001805704"
"","351","0.4957","1515","8.3782","no-hit","no-hit","c_000002052416"
"","352","0.4477","1311","3.0153","no-hit","no-hit","c_000003789748"
"","353","0.5034","3089","5.1515","no-hit","no-hit","c_000003995776"
"","354","0.4853","2716","5.6966","Eukaryota","Bacillariophyta","c_000002611815"
"","355","0.4935","1230","5.8976","Eukaryota","Bacillariophyta","c_000005327072"
"","357","0.5148","1150","6.8591","Eukaryota","Bacillariophyta","c_000001544588"
"","358","0.4744","2112","4.295","Eukaryota","Bacillariophyta","c_000003833041"
"","359","0.4652","1567","6.0766","Eukaryota","Bacillariophyta","c_000001588778"
"","360","0.4929","1477","7.8869","Eukaryota","Bacillariophyta","c_000005332021"
"","361","0.4622","1958","11.4893","no-hit","no-hit","c_000001952279"
"","362","0.4759","2839","7.1722","Eukaryota","Bacillariophyta","c_000005220744"
"","363","0.4589","1266","4.1485","Eukaryota","Eukaryota-undef","c_000002882135"
"","364","0.5092","1954","3.8495","Eukaryota","Bacillariophyta","c_000002076787"
"","365","0.5029","1392","421.0093","Eukaryota","Chordata","c_000003239335"
"","366","0.4916","2683","5.3205","Eukaryota","Bacillariophyta","c_000003501936"
"","367","0.4711","1522","1.7214","no-hit","no-hit","c_000005402032"
"","368","0.4644","1333","6.3796","no-hit","no-hit","c_000002191196"
"","369","0.516","1467","5.3708","no-hit","no-hit","c_000004141080"
