Identifier    	Cytoplasmic effector	Apoplastic effector 	Non-effector        	Prediction          
SGCHY_002083-T1 	-                   	-                   	Y (0.503)           	Non-effector
SGCHY_002097-T1 	-                   	Y (0.868)           	-                   	Apoplastic effector
SGCHY_002108-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_002133-T1 	-                   	-                   	Y (0.952)           	Non-effector
SGCHY_002145-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_002146-T1 	-                   	-                   	Y (0.849)           	Non-effector
SGCHY_002153-T1 	Y (0.532)           	-                   	-                   	Cytoplasmic effector
SGCHY_002154-T1 	-                   	-                   	Y (0.51)           	Non-effector
SGCHY_002190-T1 	Y (0.667)           	Y (0.527)           	-                   	Cytoplasmic/apoplastic effector
SGCHY_002191-T1 	Y (0.705)           	-                   	-                   	Cytoplasmic effector
SGCHY_002192-T1 	Y (0.807)           	Y (0.5)           	-                   	Cytoplasmic/apoplastic effector
SGCHY_002202-T1 	Y (0.717)           	-                   	-                   	Cytoplasmic effector
SGCHY_002227-T1 	-                   	-                   	Y (0.79)           	Non-effector
SGCHY_002299-T1 	-                   	-                   	Y (0.777)           	Non-effector
SGCHY_002319-T1 	-                   	-                   	Y (0.806)           	Non-effector
SGCHY_002364-T1 	-                   	Y (0.628)           	-                   	Apoplastic effector
SGCHY_002424-T1 	-                   	-                   	Y (0.79)           	Non-effector
SGCHY_002432-T1 	-                   	-                   	Y (0.9)           	Non-effector
SGCHY_002463-T1 	-                   	-                   	Y (0.679)           	Non-effector
SGCHY_002464-T1 	-                   	-                   	Y (0.669)           	Non-effector
SGCHY_002465-T1 	-                   	-                   	Y (0.555)           	Non-effector
SGCHY_002466-T1 	-                   	-                   	Y (0.671)           	Non-effector
SGCHY_002477-T1 	-                   	-                   	Y (0.901)           	Non-effector
SGCHY_002479-T1 	-                   	-                   	Y (0.91)           	Non-effector
SGCHY_002496-T1 	-                   	-                   	Y (0.818)           	Non-effector
SGCHY_002506-T1 	-                   	-                   	Y (0.8)           	Non-effector
SGCHY_002513-T1 	-                   	-                   	Y (0.594)           	Non-effector
SGCHY_002571-T1 	-                   	-                   	Y (0.615)           	Non-effector
SGCHY_002572-T1 	-                   	Y (0.692)           	-                   	Apoplastic effector
SGCHY_002580-T1 	Y (0.597)           	-                   	-                   	Cytoplasmic effector
SGCHY_002582-T1 	-                   	-                   	Y (0.802)           	Non-effector
SGCHY_002585-T1 	-                   	-                   	Y (0.541)           	Non-effector
SGCHY_002602-T1 	-                   	-                   	Y (0.987)           	Non-effector
SGCHY_002608-T1 	-                   	-                   	Y (0.65)           	Non-effector
SGCHY_002609-T1 	-                   	-                   	Y (0.725)           	Non-effector
SGCHY_002613-T1 	-                   	-                   	Y (0.984)           	Non-effector
SGCHY_002617-T1 	-                   	-                   	Y (0.933)           	Non-effector
SGCHY_002619-T1 	Y (0.55)           	Y (0.633)           	-                   	Apoplastic/cytoplasmic effector
SGCHY_002620-T1 	-                   	-                   	Y (0.963)           	Non-effector
SGCHY_002624-T1 	-                   	Y (0.586)           	-                   	Apoplastic effector
SGCHY_002629-T1 	-                   	-                   	Y (0.73)           	Non-effector
SGCHY_002636-T1 	-                   	-                   	Y (0.767)           	Non-effector
SGCHY_002665-T1 	Y (0.744)           	-                   	-                   	Cytoplasmic effector
SGCHY_002685-T1 	-                   	Y (0.545)           	-                   	Apoplastic effector
SGCHY_002736-T1 	-                   	Y (0.546)           	-                   	Apoplastic effector
SGCHY_002755-T1 	Y (0.577)           	-                   	-                   	Cytoplasmic effector
SGCHY_002772-T1 	-                   	-                   	Y (0.722)           	Non-effector
SGCHY_002792-T1 	-                   	-                   	Y (0.688)           	Non-effector
SGCHY_002793-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_002796-T1 	-                   	-                   	Y (0.914)           	Non-effector
SGCHY_002799-T1 	-                   	-                   	Y (0.933)           	Non-effector
SGCHY_002812-T1 	-                   	-                   	Y (0.867)           	Non-effector
SGCHY_002859-T1 	-                   	-                   	Y (0.923)           	Non-effector
SGCHY_002866-T1 	-                   	-                   	Y (0.548)           	Non-effector
SGCHY_002874-T1 	-                   	-                   	Y (0.554)           	Non-effector
SGCHY_002875-T1 	-                   	-                   	Y (0.648)           	Non-effector
SGCHY_002876-T1 	-                   	Y (0.743)           	-                   	Apoplastic effector
SGCHY_002877-T1 	-                   	Y (0.837)           	-                   	Apoplastic effector
SGCHY_002878-T1 	-                   	-                   	Y (0.768)           	Non-effector
SGCHY_002883-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_002906-T1 	-                   	-                   	Y (0.862)           	Non-effector
SGCHY_002918-T1 	Y (0.672)           	-                   	-                   	Cytoplasmic effector
SGCHY_002935-T1 	Y (0.774)           	-                   	-                   	Cytoplasmic effector
SGCHY_002939-T1 	-                   	-                   	Y (0.948)           	Non-effector
SGCHY_002959-T1 	-                   	-                   	Y (0.838)           	Non-effector
SGCHY_002968-T1 	-                   	-                   	Y (0.767)           	Non-effector
SGCHY_002978-T1 	-                   	-                   	Y (0.619)           	Non-effector
SGCHY_003005-T1 	-                   	-                   	Y (0.654)           	Non-effector
SGCHY_003006-T1 	-                   	-                   	Y (0.849)           	Non-effector
SGCHY_003009-T1 	-                   	-                   	Y (0.952)           	Non-effector
SGCHY_003029-T1 	-                   	-                   	Y (0.714)           	Non-effector
SGCHY_003044-T1 	-                   	-                   	Y (0.958)           	Non-effector
SGCHY_003066-T1 	Y (0.697)           	-                   	-                   	Cytoplasmic effector
SGCHY_003072-T1 	-                   	-                   	Y (0.95)           	Non-effector
SGCHY_003100-T1 	-                   	-                   	Y (0.714)           	Non-effector
SGCHY_003115-T1 	-                   	Y (0.756)           	-                   	Apoplastic effector
SGCHY_003116-T1 	-                   	-                   	Y (0.829)           	Non-effector
SGCHY_003151-T1 	-                   	-                   	Y (0.987)           	Non-effector
SGCHY_003166-T1 	-                   	-                   	Y (0.601)           	Non-effector
SGCHY_003167-T1 	-                   	-                   	Y (0.925)           	Non-effector
SGCHY_003184-T1 	-                   	-                   	Y (0.982)           	Non-effector
SGCHY_003191-T1 	-                   	-                   	Y (0.501)           	Non-effector
SGCHY_003197-T1 	-                   	-                   	Y (0.888)           	Non-effector
SGCHY_003198-T1 	-                   	-                   	Y (0.818)           	Non-effector
SGCHY_003203-T1 	-                   	-                   	Y (0.592)           	Non-effector
SGCHY_003220-T1 	-                   	-                   	Y (0.778)           	Non-effector
SGCHY_003252-T1 	-                   	-                   	Y (0.965)           	Non-effector
SGCHY_003265-T1 	-                   	-                   	Y (0.775)           	Non-effector
SGCHY_003267-T1 	-                   	-                   	Y (0.537)           	Non-effector
SGCHY_003268-T1 	Y (0.553)           	-                   	-                   	Cytoplasmic effector
SGCHY_003281-T1 	-                   	-                   	Y (0.809)           	Non-effector
SGCHY_003298-T1 	-                   	-                   	Y (0.713)           	Non-effector
SGCHY_003319-T1 	Y (0.55)           	Y (0.752)           	-                   	Apoplastic/cytoplasmic effector
SGCHY_003348-T1 	-                   	-                   	Y (0.901)           	Non-effector
SGCHY_003351-T1 	Y (0.569)           	Y (0.588)           	-                   	Apoplastic/cytoplasmic effector
SGCHY_003355-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_003382-T1 	-                   	-                   	Y (0.704)           	Non-effector
SGCHY_003383-T1 	-                   	-                   	Y (0.757)           	Non-effector
SGCHY_003395-T1 	-                   	-                   	Y (0.751)           	Non-effector
SGCHY_003413-T1 	-                   	-                   	Y (0.816)           	Non-effector
SGCHY_003424-T1 	-                   	-                   	Y (0.886)           	Non-effector
SGCHY_003437-T1 	-                   	-                   	Y (0.789)           	Non-effector
SGCHY_003438-T1 	-                   	-                   	Y (0.628)           	Non-effector
SGCHY_003504-T1 	-                   	-                   	Y (0.692)           	Non-effector
SGCHY_003513-T1 	Y (0.557)           	-                   	-                   	Cytoplasmic effector
SGCHY_003531-T1 	Y (0.669)           	-                   	-                   	Cytoplasmic effector
SGCHY_003542-T1 	-                   	-                   	Y (0.921)           	Non-effector
SGCHY_003553-T1 	Y (0.698)           	-                   	-                   	Cytoplasmic effector
SGCHY_003554-T1 	Y (0.554)           	Y (0.629)           	-                   	Apoplastic/cytoplasmic effector
SGCHY_003570-T1 	Y (0.55)           	-                   	-                   	Cytoplasmic effector
SGCHY_003572-T1 	-                   	-                   	Y (0.88)           	Non-effector
SGCHY_003579-T1 	Y (0.643)           	-                   	-                   	Cytoplasmic effector
SGCHY_003588-T1 	Y (0.778)           	-                   	-                   	Cytoplasmic effector
SGCHY_003601-T1 	-                   	-                   	Y (0.892)           	Non-effector
SGCHY_003614-T1 	Y (0.57)           	-                   	-                   	Cytoplasmic effector
SGCHY_003638-T1 	-                   	-                   	Y (0.771)           	Non-effector
SGCHY_003640-T1 	Y (0.75)           	-                   	-                   	Cytoplasmic effector
SGCHY_003641-T1 	-                   	-                   	Y (0.688)           	Non-effector
SGCHY_003658-T1 	-                   	-                   	Y (0.84)           	Non-effector
SGCHY_003674-T1 	Y (0.729)           	-                   	-                   	Cytoplasmic effector
SGCHY_003690-T1 	-                   	-                   	Y (0.848)           	Non-effector
SGCHY_003691-T1 	-                   	-                   	Y (0.742)           	Non-effector
SGCHY_003722-T1 	-                   	-                   	Y (0.608)           	Non-effector
SGCHY_003723-T1 	-                   	-                   	Y (0.824)           	Non-effector
SGCHY_003724-T1 	Y (0.801)           	-                   	-                   	Cytoplasmic effector
SGCHY_003726-T1 	-                   	Y (0.526)           	-                   	Apoplastic effector
SGCHY_003755-T1 	-                   	Y (0.653)           	-                   	Apoplastic effector
SGCHY_003764-T1 	-                   	-                   	Y (0.556)           	Non-effector
SGCHY_003765-T1 	-                   	-                   	Y (0.906)           	Non-effector
SGCHY_003779-T1 	-                   	-                   	Y (0.959)           	Non-effector
SGCHY_003781-T1 	-                   	-                   	Y (0.692)           	Non-effector
SGCHY_003797-T1 	-                   	-                   	Y (0.868)           	Non-effector
SGCHY_003799-T1 	Y (0.582)           	-                   	-                   	Cytoplasmic effector
SGCHY_003820-T1 	Y (0.575)           	-                   	-                   	Cytoplasmic effector
SGCHY_003825-T1 	Y (0.545)           	-                   	-                   	Cytoplasmic effector
SGCHY_003826-T1 	Y (0.834)           	Y (0.633)           	-                   	Cytoplasmic/apoplastic effector
SGCHY_003848-T1 	Y (0.695)           	-                   	-                   	Cytoplasmic effector
SGCHY_003863-T1 	-                   	-                   	Y (0.867)           	Non-effector
SGCHY_003871-T1 	-                   	-                   	Y (0.923)           	Non-effector
SGCHY_003873-T1 	Y (0.892)           	-                   	-                   	Cytoplasmic effector
SGCHY_003883-T1 	-                   	-                   	Y (0.889)           	Non-effector
SGCHY_003885-T1 	-                   	-                   	Y (0.536)           	Non-effector
SGCHY_003893-T1 	-                   	-                   	Y (0.905)           	Non-effector
SGCHY_003900-T1 	Y (0.846)           	-                   	-                   	Cytoplasmic effector
SGCHY_003901-T1 	Y (0.646)           	-                   	-                   	Cytoplasmic effector
SGCHY_003902-T1 	Y (0.728)           	-                   	-                   	Cytoplasmic effector
SGCHY_003921-T1 	-                   	-                   	Y (0.674)           	Non-effector
SGCHY_003940-T1 	-                   	-                   	Y (0.866)           	Non-effector
SGCHY_003951-T1 	Y (0.787)           	-                   	-                   	Cytoplasmic effector
SGCHY_003973-T1 	-                   	-                   	Y (0.81)           	Non-effector
SGCHY_003978-T1 	-                   	Y (0.679)           	-                   	Apoplastic effector
SGCHY_003979-T1 	-                   	-                   	Y (0.609)           	Non-effector
SGCHY_003993-T1 	-                   	-                   	Y (0.991)           	Non-effector
SGCHY_003996-T1 	-                   	-                   	Y (0.695)           	Non-effector
SGCHY_003997-T1 	-                   	Y (0.613)           	-                   	Apoplastic effector
SGCHY_003998-T1 	-                   	-                   	Y (0.62)           	Non-effector
SGCHY_004007-T1 	-                   	-                   	Y (0.886)           	Non-effector
SGCHY_004009-T1 	-                   	-                   	Y (0.744)           	Non-effector
SGCHY_004041-T1 	-                   	-                   	Y (0.602)           	Non-effector
SGCHY_004059-T1 	-                   	-                   	Y (0.546)           	Non-effector
SGCHY_004063-T1 	-                   	-                   	Y (0.991)           	Non-effector
SGCHY_004064-T1 	-                   	-                   	Y (0.987)           	Non-effector
SGCHY_004078-T1 	-                   	Y (0.541)           	-                   	Apoplastic effector
SGCHY_004107-T1 	-                   	-                   	Y (0.901)           	Non-effector
SGCHY_004116-T1 	Y (0.709)           	-                   	-                   	Cytoplasmic effector
SGCHY_004117-T1 	-                   	-                   	Y (0.868)           	Non-effector
SGCHY_004119-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_004126-T1 	-                   	-                   	Y (0.747)           	Non-effector
SGCHY_004131-T1 	-                   	-                   	Y (0.696)           	Non-effector
SGCHY_004141-T1 	-                   	-                   	Y (0.968)           	Non-effector
SGCHY_004143-T1 	Y (0.863)           	-                   	-                   	Cytoplasmic effector
SGCHY_004147-T1 	-                   	-                   	Y (0.616)           	Non-effector
SGCHY_004148-T1 	Y (0.648)           	Y (0.564)           	-                   	Cytoplasmic/apoplastic effector
SGCHY_004204-T1 	Y (0.725)           	-                   	-                   	Cytoplasmic effector
SGCHY_004263-T1 	-                   	-                   	Y (0.966)           	Non-effector
SGCHY_004277-T1 	Y (0.666)           	-                   	-                   	Cytoplasmic effector
SGCHY_004280-T1 	Y (0.56)           	-                   	-                   	Cytoplasmic effector
SGCHY_004317-T1 	-                   	-                   	Y (0.919)           	Non-effector
SGCHY_004322-T1 	-                   	-                   	Y (0.982)           	Non-effector
SGCHY_004345-T1 	-                   	-                   	Y (0.966)           	Non-effector
SGCHY_004349-T1 	-                   	-                   	Y (0.96)           	Non-effector
SGCHY_004350-T1 	-                   	-                   	Y (0.886)           	Non-effector
SGCHY_004383-T1 	-                   	-                   	Y (0.938)           	Non-effector
SGCHY_004465-T1 	-                   	-                   	Y (0.812)           	Non-effector
SGCHY_004503-T1 	Y (0.707)           	-                   	-                   	Cytoplasmic effector
SGCHY_004545-T1 	-                   	-                   	Y (0.851)           	Non-effector
SGCHY_004554-T1 	-                   	-                   	Y (0.958)           	Non-effector
SGCHY_004591-T1 	Y (0.559)           	-                   	-                   	Cytoplasmic effector
SGCHY_004593-T1 	-                   	Y (0.834)           	-                   	Apoplastic effector
SGCHY_004595-T1 	-                   	-                   	Y (0.75)           	Non-effector
SGCHY_004596-T1 	Y (0.752)           	-                   	-                   	Cytoplasmic effector
SGCHY_004628-T1 	Y (0.862)           	-                   	-                   	Cytoplasmic effector
SGCHY_004659-T1 	-                   	-                   	Y (0.671)           	Non-effector
SGCHY_004666-T1 	Y (0.632)           	-                   	-                   	Cytoplasmic effector
SGCHY_004691-T1 	Y (0.67)           	-                   	-                   	Cytoplasmic effector
SGCHY_004731-T1 	-                   	Y (0.566)           	-                   	Apoplastic effector
SGCHY_004739-T1 	-                   	-                   	Y (0.94)           	Non-effector
SGCHY_004744-T1 	-                   	-                   	Y (0.905)           	Non-effector
SGCHY_004756-T1 	-                   	-                   	Y (0.584)           	Non-effector
SGCHY_004757-T1 	-                   	-                   	Y (0.743)           	Non-effector
SGCHY_004771-T1 	Y (0.767)           	-                   	-                   	Cytoplasmic effector
SGCHY_004781-T1 	Y (0.66)           	-                   	-                   	Cytoplasmic effector
SGCHY_004790-T1 	-                   	-                   	Y (0.709)           	Non-effector
SGCHY_004809-T1 	-                   	-                   	Y (0.632)           	Non-effector
SGCHY_004827-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCHY_004829-T1 	Y (0.515)           	-                   	-                   	Cytoplasmic effector
SGCHY_004836-T1 	-                   	-                   	Y (0.507)           	Non-effector
SGCHY_004844-T1 	-                   	-                   	Y (0.618)           	Non-effector
SGCHY_004857-T1 	Y (0.8)           	-                   	-                   	Cytoplasmic effector
SGCHY_004897-T1 	-                   	-                   	Y (0.941)           	Non-effector
SGCHY_004913-T1 	-                   	-                   	Y (0.534)           	Non-effector
SGCHY_004932-T1 	-                   	-                   	Y (0.894)           	Non-effector
SGCHY_004996-T1 	-                   	-                   	Y (0.503)           	Non-effector
SGCHY_005009-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_005014-T1 	-                   	-                   	Y (0.78)           	Non-effector
SGCHY_005019-T1 	-                   	-                   	Y (0.725)           	Non-effector
SGCHY_005048-T1 	-                   	-                   	Y (0.696)           	Non-effector
SGCHY_005051-T1 	-                   	-                   	Y (0.897)           	Non-effector
SGCHY_005057-T1 	Y (0.628)           	Y (0.747)           	-                   	Apoplastic/cytoplasmic effector
SGCHY_005069-T1 	Y (0.788)           	-                   	-                   	Cytoplasmic effector
SGCHY_005073-T1 	-                   	Y (0.922)           	-                   	Apoplastic effector
SGCHY_005082-T1 	Y (0.688)           	-                   	-                   	Cytoplasmic effector
SGCHY_005085-T1 	Y (0.605)           	-                   	-                   	Cytoplasmic effector
SGCHY_005086-T1 	-                   	-                   	Y (0.629)           	Non-effector
SGCHY_005114-T1 	Y (0.781)           	-                   	-                   	Cytoplasmic effector
SGCHY_005123-T1 	-                   	Y (0.52)           	-                   	Apoplastic effector
SGCHY_005158-T1 	-                   	-                   	Y (0.778)           	Non-effector
SGCHY_005168-T1 	Y (0.526)           	-                   	-                   	Cytoplasmic effector
SGCHY_005182-T1 	-                   	Y (0.511)           	-                   	Apoplastic effector
SGCHY_005207-T1 	-                   	-                   	Y (0.827)           	Non-effector
SGCHY_005210-T1 	Y (0.595)           	-                   	-                   	Cytoplasmic effector
SGCHY_005226-T1 	-                   	-                   	Y (0.891)           	Non-effector
SGCHY_005236-T1 	-                   	-                   	Y (0.708)           	Non-effector
SGCHY_005251-T1 	Y (0.853)           	-                   	-                   	Cytoplasmic effector
SGCHY_005253-T1 	-                   	-                   	Y (0.823)           	Non-effector
SGCHY_005258-T1 	Y (0.858)           	-                   	-                   	Cytoplasmic effector
SGCHY_005288-T1 	-                   	-                   	Y (0.981)           	Non-effector
