"sel","_id","gc","length","METABAT__22-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","210","0.5318","5523","2.0281","Eukaryota","Eukaryota-undef","c_000004827382"
"","211","0.558","4559","1.057","Eukaryota","Haptophyta","c_000003029963"
"","212","0.4944","4464","2.7334","Eukaryota","Haptophyta","c_000001340686"
"","213","0.5795","4078","11.0432","no-hit","no-hit","c_000001227294"
"","214","0.5046","12106","2.0935","no-hit","no-hit","c_000004588130"
"","215","0.5904","4556","1.0972","Eukaryota","Haptophyta","c_000000861336"
"","216","0.5015","5677","1.3993","Eukaryota","Haptophyta","c_000001826350"
"","217","0.5604","5041","1.9589","Eukaryota","Haptophyta","c_000003316013"
"","218","0.4916","2693","1.6134","no-hit","no-hit","c_000000453204"
"","219","0.5993","3636","2.192","Eukaryota","Haptophyta","c_000000240547"
"","220","0.5386","4417","1.8146","Eukaryota","Haptophyta","c_000003575242"
"","221","0.601","12965","1.6872","Eukaryota","Haptophyta","c_000000472863"
"","222","0.5604","7042","0.8632","no-hit","no-hit","c_000000808598"
"","223","0.5104","4741","2.0732","Eukaryota","Bacillariophyta","c_000000440986"
"","224","0.5494","2954","1.3097","Eukaryota","Haptophyta","c_000000990087"
"","225","0.5165","4589","1.562","no-hit","no-hit","c_000000935478"
"","226","0.5971","10871","1.0048","Eukaryota","Haptophyta","c_000004837523"
"","227","0.5793","7661","3.3483","no-hit","no-hit","c_000001113887"
"","228","0.4976","7786","2.0726","no-hit","no-hit","c_000002702957"
"","229","0.5268","3132","1.8107","Eukaryota","Haptophyta","c_000001012154"
"","230","0.5413","4351","14.0866","Eukaryota","Haptophyta","c_000001516846"
"","231","0.4998","8041","2.5167","Eukaryota","Haptophyta","c_000001895489"
"","232","0.5244","3358","1.7662","Eukaryota","Chlorophyta","c_000000894072"
"","233","0.5226","2924","1.222","no-hit","no-hit","c_000003001328"
"","234","0.554","7698","0.5333","no-hit","no-hit","c_000004340934"
"","235","0.5004","7306","6.6187","Eukaryota","Haptophyta","c_000000150745"
"","236","0.5528","5351","3.0716","no-hit","no-hit","c_000002095244"
"","237","0.5169","5719","2.1465","no-hit","no-hit","c_000002502559"
"","238","0.573","10637","2.613","Eukaryota","Haptophyta","c_000003268996"
"","239","0.5038","7039","1.694","Eukaryota","Chlorophyta","c_000001150853"
"","240","0.4989","5630","1.5778","Eukaryota","Haptophyta","c_000003677738"
"","241","0.5353","5322","3.2572","no-hit","no-hit","c_000004195562"
"","242","0.549","5053","2.1757","no-hit","no-hit","c_000002669038"
"","243","0.5656","10306","1.3935","Eukaryota","Haptophyta","c_000000207267"
"","244","0.5251","5378","5.2123","no-hit","no-hit","c_000003036080"
"","245","0.5463","7613","3.7358","Eukaryota","Platyhelminthes","c_000004537673"
"","246","0.5612","5376","2.7814","no-hit","no-hit","c_000000131572"
"","247","0.5475","7900","1.7097","Eukaryota","Arthropoda","c_000004619143"
"","248","0.5182","2559","1.272","no-hit","no-hit","c_000005260420"
"","249","0.5252","7049","1.529","no-hit","no-hit","c_000000760484"
"","250","0.5056","3022","2.8187","no-hit","no-hit","c_000000724310"
"","251","0.5524","8894","1.341","Eukaryota","Haptophyta","c_000001684870"
"","252","0.5242","7412","2.0411","no-hit","no-hit","c_000003380968"
"","253","0.5469","5774","1.6394","Eukaryota","Haptophyta","c_000002874906"
"","254","0.4974","3402","3.7313","no-hit","no-hit","c_000003380146"
"","255","0.4839","2734","2.3713","no-hit","no-hit","c_000000224447"
"","256","0.5408","8220","8.5648","Eukaryota","Porifera","c_000000091142"
"","257","0.5091","6551","1.7625","no-hit","no-hit","c_000000886648"
"","258","0.5974","3594","6.4193","no-hit","no-hit","c_000001827917"
"","259","0.5156","4160","1.9149","no-hit","no-hit","c_000003140623"
"","260","0.5539","8231","2.0972","Eukaryota","Haptophyta","c_000001801868"
"","261","0.5127","4987","1.1861","Eukaryota","Haptophyta","c_000003313489"
"","262","0.5301","7151","1.7188","Eukaryota","Haptophyta","c_000000077955"
"","263","0.5417","22218","2.5848","Eukaryota","Haptophyta","c_000002425265"
"","264","0.5071","5171","1.3319","no-hit","no-hit","c_000000305488"
"","265","0.5516","6836","2.0335","no-hit","no-hit","c_000002636477"
"","266","0.522","12137","2.2403","no-hit","no-hit","c_000004730283"
"","267","0.5284","4775","4.7537","Eukaryota","Haptophyta","c_000001575066"
"","268","0.5368","6410","1.2153","no-hit","no-hit","c_000001965255"
"","269","0.5343","3253","1.5693","Eukaryota","Oomycota","c_000001408767"
"","270","0.5376","4343","1.6422","Eukaryota","Haptophyta","c_000002035912"
"","271","0.5395","5933","31.0401","Eukaryota","Haptophyta","c_000002570307"
"","272","0.565","3805","2.8967","Eukaryota","Haptophyta","c_000000323823"
"","273","0.526","4717","2.1022","Eukaryota","Haptophyta","c_000001689939"
"","274","0.5166","8122","2.1482","no-hit","no-hit","c_000000940809"
"","275","0.5216","9773","1.5504","no-hit","no-hit","c_000002805806"
"","276","0.5295","3477","1.6891","no-hit","no-hit","c_000001231760"
"","277","0.5784","5270","1.5364","no-hit","no-hit","c_000004100959"
"","278","0.5018","6223","17.583","no-hit","no-hit","c_000002409030"
"","280","0.5183","5848","1.913","no-hit","no-hit","c_000001832092"
"","281","0.5619","4972","3.1569","Eukaryota","Haptophyta","c_000005275469"
"","282","0.555","5896","2.7146","Eukaryota","Haptophyta","c_000002966078"
"","283","0.5535","6695","13.0799","no-hit","no-hit","c_000001232305"
"","284","0.5855","7962","1.0335","Eukaryota","Haptophyta","c_000003088553"
"","285","0.579","2741","0.4954","no-hit","no-hit","c_000002919175"
"","286","0.5473","3468","5.8005","Eukaryota","Haptophyta","c_000003623199"
"","287","0.5343","4486","7.0259","Eukaryota","Eukaryota-undef","c_000001804350"
"","288","0.5107","5933","1.448","no-hit","no-hit","c_000004195920"
"","289","0.525","6129","7.9124","no-hit","no-hit","c_000001178338"
"","290","0.4988","2859","10.4736","no-hit","no-hit","c_000000563838"
"","291","0.4935","9962","2.3338","Eukaryota","Haptophyta","c_000000348596"
"","292","0.571","5918","1.7464","Eukaryota","Haptophyta","c_000003207850"
"","293","0.4872","4195","1.6992","no-hit","no-hit","c_000005040145"
"","294","0.582","7237","1.3023","Eukaryota","Haptophyta","c_000004504960"
"","295","0.4906","10085","7.8232","Eukaryota","Haptophyta","c_000001425567"
"","296","0.4872","10636","1.9445","Eukaryota","Basidiomycota","c_000003967892"
"","297","0.4872","2705","2.2059","no-hit","no-hit","c_000000249984"
"","298","0.5321","5104","7.1563","no-hit","no-hit","c_000001675297"
"","299","0.5585","5603","16.1296","Eukaryota","Eukaryota-undef","c_000005307112"
"","300","0.5487","3525","2.0051","no-hit","no-hit","c_000003932758"
"","301","0.5135","3961","12.4958","Eukaryota","Haptophyta","c_000004559890"
"","302","0.537","6557","2.2924","Eukaryota","Haptophyta","c_000000446077"
"","303","0.5256","4817","2.1495","no-hit","no-hit","c_000001668449"
"","304","0.5666","4573","1.3634","no-hit","no-hit","c_000000325918"
"","305","0.5234","15278","3.7553","Eukaryota","Haptophyta","c_000001618770"
"","306","0.5325","5951","3.1003","Eukaryota","Haptophyta","c_000002864801"
"","307","0.4916","4404","40.9864","no-hit","no-hit","c_000002954470"
"","308","0.5268","3774","7.4637","Eukaryota","Haptophyta","c_000001468192"
"","309","0.5081","5275","1.7776","Eukaryota","Haptophyta","c_000003288206"
"","310","0.4881","3567","179.5021","no-hit","no-hit","c_000000458216"
"","311","0.537","13351","1.8217","no-hit","no-hit","c_000004610096"
"","312","0.5263","2626","1.0061","no-hit","no-hit","c_000002016214"
"","313","0.5618","4067","1.8611","no-hit","no-hit","c_000004161847"
"","314","0.5187","9815","2.331","Eukaryota","Haptophyta","c_000005115696"
"","315","0.5311","8236","1.7131","no-hit","no-hit","c_000002583646"
"","316","0.5461","7955","1.9485","no-hit","no-hit","c_000001111996"
"","317","0.5767","3088","203.4145","Eukaryota","Haptophyta","c_000002009972"
"","318","0.5291","8133","1.7921","no-hit","no-hit","c_000000699600"
"","319","0.5631","7324","2.0558","no-hit","no-hit","c_000000456508"
"","320","0.5159","7711","6.4695","no-hit","no-hit","c_000002979309"
"","321","0.4943","4058","2.0276","no-hit","no-hit","c_000004232111"
"","322","0.6036","4894","5.9148","no-hit","no-hit","c_000000916047"
"","323","0.5318","14888","1.8","no-hit","no-hit","c_000002861339"
"","324","0.523","5966","2.2628","no-hit","no-hit","c_000003456025"
"","325","0.531","5774","1.7047","Eukaryota","Haptophyta","c_000003898223"
"","326","0.5387","10323","3.6914","Eukaryota","Haptophyta","c_000004863007"
"","327","0.5198","13302","2.4995","Eukaryota","Haptophyta","c_000003521674"
"","328","0.5024","6095","1.1903","no-hit","no-hit","c_000002299363"
"","329","0.5468","6768","1.5485","no-hit","no-hit","c_000002627757"
"","330","0.5721","2912","1.5639","Eukaryota","Haptophyta","c_000002081492"
"","331","0.5464","7872","1.7675","no-hit","no-hit","c_000005260054"
"","332","0.5524","4026","2.224","no-hit","no-hit","c_000005285125"
"","333","0.5931","2853","6.4707","no-hit","no-hit","c_000001615535"
"","334","0.5071","11202","3.5953","Eukaryota","Haptophyta","c_000005499855"
"","335","0.5815","3625","1.5341","no-hit","no-hit","c_000000934143"
"","336","0.5636","7386","2.1531","Eukaryota","Haptophyta","c_000004474700"
"","337","0.512","6975","2.6619","Eukaryota","Haptophyta","c_000003231076"
"","338","0.5016","7129","4.7827","Eukaryota","Haptophyta","c_000005277328"
"","339","0.5863","4508","1.811","no-hit","no-hit","c_000000091640"
"","340","0.6103","13132","1.3727","Eukaryota","Haptophyta","c_000001266135"
"","341","0.5299","3986","2.2095","no-hit","no-hit","c_000001908795"
"","342","0.5647","6611","1.4379","no-hit","no-hit","c_000000151979"
"","343","0.5265","4340","2.6237","Eukaryota","Haptophyta","c_000004364927"
"","344","0.5177","5590","2.6934","Eukaryota","Haptophyta","c_000003232686"
"","345","0.5396","2850","1.7225","Eukaryota","Haptophyta","c_000004610367"
"","346","0.4858","9736","1.2539","Eukaryota","Haptophyta","c_000002507605"
"","347","0.5352","8015","2.261","Eukaryota","Haptophyta","c_000002785694"
"","348","0.5347","4277","1.1569","Eukaryota","Haptophyta","c_000001050220"
"","349","0.5424","8873","2.5942","no-hit","no-hit","c_000004957005"
"","351","0.5272","12471","1.7477","Eukaryota","Haptophyta","c_000003049995"
"","352","0.473","3579","1.9606","no-hit","no-hit","c_000002199625"
"","353","0.5046","3474","3.1569","Eukaryota","Haptophyta","c_000000580681"
"","354","0.5224","2630","2.9703","Eukaryota","Haptophyta","c_000005346368"
"","355","0.5945","3058","0.7096","Eukaryota","Streptophyta","c_000002044933"
"","356","0.5174","4391","1.6607","no-hit","no-hit","c_000001415908"
"","357","0.5142","7978","1.6015","Eukaryota","Haptophyta","c_000004452792"
"","358","0.5021","5531","1.8056","no-hit","no-hit","c_000001773930"
"","359","0.4854","9314","1.6361","no-hit","no-hit","c_000001669958"
"","360","0.5626","4136","1.1842","no-hit","no-hit","c_000002093263"
"","361","0.5522","4078","1.1989","no-hit","no-hit","c_000005452816"
"","362","0.5671","5639","2.2635","Eukaryota","Haptophyta","c_000000350356"
"","363","0.5138","6917","2.7609","no-hit","no-hit","c_000002861843"
"","364","0.5566","2864","1.9323","no-hit","no-hit","c_000003944235"
"","365","0.5128","6862","1.6312","no-hit","no-hit","c_000000593660"
"","366","0.5405","7773","2.5643","no-hit","no-hit","c_000000374223"
"","367","0.5417","7096","2.8677","Eukaryota","Haptophyta","c_000002211601"
"","368","0.546","9107","3.1575","Eukaryota","Haptophyta","c_000002546486"
"","369","0.5276","19287","1.6403","Eukaryota","Haptophyta","c_000001071035"
"","370","0.5032","3728","1.566","Eukaryota","Haptophyta","c_000000826491"
"","371","0.6132","4131","1.2752","Eukaryota","Haptophyta","c_000003182994"
"","372","0.5776","10702","1.7896","no-hit","no-hit","c_000003801879"
"","373","0.5368","4858","3.6414","Eukaryota","Haptophyta","c_000001642023"
"","374","0.5166","6568","1.3614","no-hit","no-hit","c_000002159302"
"","375","0.5225","9780","1.8759","Eukaryota","Oomycota","c_000001097062"
"","377","0.4493","6695","15.8503","no-hit","no-hit","c_000001492348"
"","378","0.4824","5383","10.2017","no-hit","no-hit","c_000005405648"
"","379","0.5234","4629","12.836","Eukaryota","Haptophyta","c_000001200079"
"","380","0.598","3015","0.9496","no-hit","no-hit","c_000005135580"
"","381","0.4862","4054","9.2454","Eukaryota","Haptophyta","c_000000565210"
"","382","0.5366","21162","1.5748","Eukaryota","Haptophyta","c_000001444613"
"","383","0.5915","4338","9.4608","no-hit","no-hit","c_000001489014"
"","384","0.522","8632","2.2443","Eukaryota","Haptophyta","c_000004576548"
