"sel","_id","gc","length","W_Bin_16-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","92","0.4547","7720","1.0861","Eukaryota","Bacillariophyta","c_000001863686"
"","93","0.4591","8211","1.394","Eukaryota","Bacillariophyta","c_000003221148"
"","94","0.461","6891","1.0654","Eukaryota","Bacillariophyta","c_000000267120"
"","95","0.4567","9577","0.9688","Eukaryota","Bacillariophyta","c_000002945044"
"","96","0.4664","10270","1.2281","Eukaryota","Bacillariophyta","c_000000773154"
"","97","0.4549","88005","1.4754","Eukaryota","Bacillariophyta","c_000001761511"
"","98","0.4608","16679","29.0998","Eukaryota","Bacillariophyta","c_000000609162"
"","99","0.4656","29988","1.1851","Eukaryota","Bacillariophyta","c_000003526158"
"","100","0.4623","6377","1.3174","no-hit","no-hit","c_000000102978"
"","101","0.4527","8549","2.1115","Eukaryota","Bacillariophyta","c_000000995693"
"","102","0.4491","4970","1.035","Eukaryota","Bacillariophyta","c_000004263005"
"","103","0.4645","18295","1.0387","Eukaryota","Bacillariophyta","c_000000635222"
"","104","0.4624","67143","1.2959","Eukaryota","Bacillariophyta","c_000004626401"
"","105","0.4499","4843","1.6283","no-hit","no-hit","c_000003729937"
"","106","0.4473","18556","2.3917","Eukaryota","Bacillariophyta","c_000000451273"
"","107","0.4529","21523","1.3208","Eukaryota","Bacillariophyta","c_000004033838"
"","108","0.476","7777","4.8899","Eukaryota","Bacillariophyta","c_000003495693"
"","109","0.4468","9141","1.5285","Eukaryota","Bacillariophyta","c_000004624245"
"","110","0.4651","27651","1.2307","Eukaryota","Bacillariophyta","c_000000521542"
"","111","0.4572","66419","1.4552","Eukaryota","Bacillariophyta","c_000001599980"
"","112","0.465","22776","7.3051","Eukaryota","Bacillariophyta","c_000000344724"
"","113","0.4551","22255","1.0674","Eukaryota","Bacillariophyta","c_000002001928"
"","114","0.4529","6260","1.0495","Eukaryota","Bacillariophyta","c_000002223249"
"","115","0.4541","10747","1.526","Eukaryota","Bacillariophyta","c_000000358211"
"","116","0.4637","38520","1.4692","Eukaryota","Bacillariophyta","c_000001258785"
"","117","0.4619","15721","1.2091","Eukaryota","Bacillariophyta","c_000000789890"
"","118","0.463","8362","0.8789","Eukaryota","Bacillariophyta","c_000003885415"
"","119","0.4673","10888","1.5377","Eukaryota","Bacillariophyta","c_000003362502"
"","120","0.4413","3159","1.9506","Eukaryota","Bacillariophyta","c_000003491449"
"","121","0.4612","14050","1.3608","Eukaryota","Bacillariophyta","c_000003192848"
"","122","0.4557","26900","1.1741","Eukaryota","Bacillariophyta","c_000003214208"
"","123","0.4543","6159","2.2447","Eukaryota","Bacillariophyta","c_000000386006"
"","124","0.4546","6663","7.137","Eukaryota","Bacillariophyta","c_000000946930"
"","125","0.4643","32777","2.0605","Eukaryota","Bacillariophyta","c_000003224067"
"","126","0.4624","31479","1.3578","Eukaryota","Bacillariophyta","c_000001959576"
"","127","0.4565","128718","1.433","Eukaryota","Bacillariophyta","c_000000576170"
"","128","0.4598","62500","1.4758","Eukaryota","Bacillariophyta","c_000004415018"
"","129","0.4559","14592","0.8193","Eukaryota","Eukaryota-undef","c_000000969289"
"","130","0.4515","43635","1.3656","Eukaryota","Bacillariophyta","c_000003925425"
"","131","0.4763","7958","1.7918","Eukaryota","Bacillariophyta","c_000002788492"
"","132","0.4707","7139","1.4551","Eukaryota","Bacillariophyta","c_000002222256"
"","133","0.4575","65163","1.2222","Eukaryota","Bacillariophyta","c_000001610099"
"","134","0.4587","14290","1.3781","Eukaryota","Bacillariophyta","c_000005151030"
"","135","0.4523","14593","1.1833","Eukaryota","Bacillariophyta","c_000002149462"
"","136","0.4556","7309","0.7499","Eukaryota","Bacillariophyta","c_000005254255"
"","137","0.4569","20829","2.0437","Eukaryota","Bacillariophyta","c_000002868194"
"","138","0.4517","9947","1.0444","Eukaryota","Bacillariophyta","c_000003645819"
"","139","0.419","4931","2.9122","no-hit","no-hit","c_000000069790"
"","140","0.4659","36192","1.1905","Eukaryota","Bacillariophyta","c_000000814515"
"","141","0.4499","6940","2.1111","Eukaryota","Bacillariophyta","c_000002680572"
"","142","0.467","11587","1.0362","Eukaryota","Bacillariophyta","c_000003416159"
"","143","0.458","8411","42.5685","Eukaryota","Bacillariophyta","c_000003569862"
"","144","0.4572","42541","1.3799","Eukaryota","Bacillariophyta","c_000004549651"
"","145","0.4632","72535","1.1921","Eukaryota","Bacillariophyta","c_000002646633"
"","146","0.4565","12809","1.3243","Eukaryota","Bacillariophyta","c_000003303737"
"","147","0.4806","5281","1.4211","Eukaryota","Bacillariophyta","c_000002961308"
"","148","0.4512","11925","1.1696","Eukaryota","Bacillariophyta","c_000003515406"
"","149","0.4527","6822","1.3323","Eukaryota","Bacillariophyta","c_000002426727"
"","150","0.4528","7297","1.188","Eukaryota","Bacillariophyta","c_000001745880"
"","151","0.4671","16013","0.9893","Eukaryota","Bacillariophyta","c_000003363354"
"","152","0.4777","8780","0.9747","Eukaryota","Bacillariophyta","c_000004417405"
"","153","0.4447","6660","10.1917","Eukaryota","Bacillariophyta","c_000002455702"
"","154","0.4529","7510","3.1137","Eukaryota","Bacillariophyta","c_000003634161"
"","155","0.4564","31202","1.1249","Eukaryota","Bacillariophyta","c_000003594294"
"","156","0.4644","42560","3.8058","Eukaryota","Bacillariophyta","c_000000333440"
"","157","0.4588","81933","1.3129","Eukaryota","Bacillariophyta","c_000001129669"
"","158","0.4547","11124","1.1179","Eukaryota","Bacillariophyta","c_000002630851"
"","159","0.4529","19903","1.4148","Eukaryota","Bacillariophyta","c_000003449289"
"","160","0.4668","13585","1.84","Eukaryota","Bacillariophyta","c_000003673215"
"","161","0.4457","11120","1.7507","Eukaryota","Bacillariophyta","c_000002330558"
"","162","0.4518","6441","1.7362","Eukaryota","Platyhelminthes","c_000004766446"
"","163","0.4537","10899","1.6677","Eukaryota","Bacillariophyta","c_000001592660"
"","164","0.4561","4933","0.6039","Eukaryota","Bacillariophyta","c_000003022313"
"","165","0.4696","5858","1.2318","Eukaryota","Bacillariophyta","c_000004626682"
"","166","0.4656","6070","1.8529","Eukaryota","Bacillariophyta","c_000003766137"
"","167","0.4598","29425","1.4259","Eukaryota","Bacillariophyta","c_000004940987"
"","168","0.4538","6025","1.2631","no-hit","no-hit","c_000000889249"
"","169","0.4615","5374","2.5303","no-hit","no-hit","c_000003078927"
"","170","0.4455","16127","7.3697","Eukaryota","Bacillariophyta","c_000001036363"
"","171","0.4524","10293","1.2358","Eukaryota","Bacillariophyta","c_000000558794"
"","172","0.4686","27294","1.401","Eukaryota","Bacillariophyta","c_000001695120"
"","173","0.4565","34676","1.1985","Eukaryota","Bacillariophyta","c_000003861222"
"","174","0.464","20914","1.378","Eukaryota","Bacillariophyta","c_000001346578"
"","175","0.4448","16878","9.6837","Eukaryota","Bacillariophyta","c_000002481550"
"","176","0.4704","19394","1.0436","Eukaryota","Bacillariophyta","c_000002801088"
"","177","0.4625","35292","1.2373","Eukaryota","Bacillariophyta","c_000002884489"
"","179","0.4244","5028","25.5024","no-hit","no-hit","c_000002877644"
"","180","0.463","21782","1.701","Eukaryota","Bacillariophyta","c_000005408237"
"","181","0.4501","7819","0.9726","Eukaryota","Bacillariophyta","c_000000789804"
"","182","0.4528","42038","1.4571","Eukaryota","Bacillariophyta","c_000000921405"
"","183","0.4545","4264","1.4341","Eukaryota","Bacillariophyta","c_000000262697"
"","184","0.4678","8175","1.3856","Eukaryota","Bacillariophyta","c_000002918415"
"","185","0.4556","48726","1.2587","Eukaryota","Bacillariophyta","c_000003045971"
"","187","0.4505","14263","1.0357","Eukaryota","Bacillariophyta","c_000003338669"
"","188","0.4518","6570","0.8312","Eukaryota","Bacillariophyta","c_000003437664"
"","189","0.4591","4757","1.4015","Eukaryota","Bacillariophyta","c_000004942390"
"","190","0.4603","34276","1.3056","Eukaryota","Bacillariophyta","c_000004671923"
"","191","0.4608","34904","1.1567","Eukaryota","Bacillariophyta","c_000000409815"
"","192","0.4722","27829","1.0615","Eukaryota","Bacillariophyta","c_000002865128"
"","193","0.4549","18778","1.7191","Eukaryota","Bacillariophyta","c_000000939409"
"","194","0.4708","5336","1.5693","Eukaryota","Bacillariophyta","c_000001730166"
"","195","0.4602","12882","4.6345","Eukaryota","Bacillariophyta","c_000004835855"
"","196","0.4574","18352","1.2264","Eukaryota","Bacillariophyta","c_000004989616"
"","197","0.4382","6573","2.5999","Eukaryota","Bacillariophyta","c_000002832195"
"","198","0.4691","4986","1.3149","Eukaryota","Bacillariophyta","c_000003705438"
"","199","0.461","7371","2.878","Eukaryota","Bacillariophyta","c_000002568253"
"","200","0.4612","16584","1.2796","Eukaryota","Bacillariophyta","c_000002910040"
"","201","0.446","18922","2.0794","Eukaryota","Bacillariophyta","c_000004457818"
"","202","0.4467","5641","16.5997","Eukaryota","Bacillariophyta","c_000003607981"
"","203","0.4488","6526","13.0228","Eukaryota","Bacillariophyta","c_000002338165"
"","204","0.4649","6438","1.2271","no-hit","no-hit","c_000002337486"
"","205","0.4574","11181","1.6287","Eukaryota","Bacillariophyta","c_000000297714"
"","206","0.4653","7438","1.7661","Eukaryota","Bacillariophyta","c_000001025763"
"","207","0.4469","5400","1.2794","no-hit","no-hit","c_000004176345"
"","208","0.4493","5952","1.1939","Eukaryota","Bacillariophyta","c_000002240620"
"","209","0.4597","6124","1.3205","Eukaryota","Bacillariophyta","c_000000868160"
"","210","0.4436","15878","1.9866","Eukaryota","Bacillariophyta","c_000001856585"
"","211","0.4479","13838","1.2325","Eukaryota","Bacillariophyta","c_000005490175"
"","212","0.4712","6562","5.7097","Eukaryota","Bacillariophyta","c_000003513157"
"","213","0.4741","4619","119.6229","Eukaryota","Bacillariophyta","c_000000654719"
"","214","0.4572","5796","1.4638","Eukaryota","Bacillariophyta","c_000002785443"
"","215","0.4526","102680","1.4127","Eukaryota","Bacillariophyta","c_000000712337"
"","216","0.452","31964","1.4435","Eukaryota","Bacillariophyta","c_000001169598"
"","217","0.4516","5257","1.4533","Eukaryota","Bacillariophyta","c_000002947949"
"","218","0.4588","9617","1.168","Eukaryota","Bacillariophyta","c_000001018272"
"","219","0.4519","6966","2.7262","Eukaryota","Bacillariophyta","c_000005448536"
"","220","0.4582","13605","17.4656","Eukaryota","Bacillariophyta","c_000002602401"
"","221","0.4465","14550","1.6604","Eukaryota","Bacillariophyta","c_000005023232"
"","222","0.4473","6115","4.9895","Eukaryota","Bacillariophyta","c_000001224370"
"","223","0.4599","14930","39.8541","Eukaryota","Bacillariophyta","c_000002752018"
"","224","0.4531","14128","1.4895","Eukaryota","Bacillariophyta","c_000000908073"
"","225","0.4624","13275","1.7263","Eukaryota","Bacillariophyta","c_000001917766"
"","226","0.4459","8948","1.3077","no-hit","no-hit","c_000004726986"
"","227","0.4504","26467","1.3805","Eukaryota","Bacillariophyta","c_000002424020"
"","228","0.4346","14952","7.6889","Eukaryota","Bacillariophyta","c_000002722759"
"","229","0.4513","3514","4.4548","no-hit","no-hit","c_000001952969"
"","230","0.4553","4847","3.0225","Eukaryota","Bacillariophyta","c_000001318318"
"","231","0.449","10037","1.5365","Eukaryota","Bacillariophyta","c_000003200412"
"","232","0.4603","13503","1.1154","Eukaryota","Bacillariophyta","c_000000647520"
"","233","0.4626","65180","3.3382","Eukaryota","Bacillariophyta","c_000003594977"
"","234","0.4587","57732","1.5289","Eukaryota","Bacillariophyta","c_000001473262"
"","235","0.464","10796","7.3442","Eukaryota","Bacillariophyta","c_000004145578"
"","236","0.4508","35407","1.4566","Eukaryota","Bacillariophyta","c_000002938959"
"","237","0.4524","5179","1.3893","Eukaryota","Bacillariophyta","c_000004058320"
"","238","0.4727","7465","0.6585","Eukaryota","Bacillariophyta","c_000003307106"
"","240","0.4526","42144","1.8094","Eukaryota","Bacillariophyta","c_000003951463"
"","241","0.4583","36877","1.2372","Eukaryota","Bacillariophyta","c_000002585788"
"","242","0.4674","4414","1.0893","Eukaryota","Bacillariophyta","c_000003316388"
"","243","0.4525","13830","2.4501","Eukaryota","Bacillariophyta","c_000004114364"
"","244","0.4589","22947","44.5383","Eukaryota","Bacillariophyta","c_000004016506"
"","245","0.4746","4372","1.0711","Eukaryota","Bacillariophyta","c_000000569309"
"","246","0.4495","4036","1.2721","Eukaryota","Bacillariophyta","c_000002035360"
"","247","0.4519","16076","0.9828","Eukaryota","Bacillariophyta","c_000003014081"
"","248","0.4522","9162","0.8927","Eukaryota","Bacillariophyta","c_000003789549"
"","249","0.4554","13409","1.3714","Eukaryota","Bacillariophyta","c_000001310912"
"","250","0.4459","6313","1.2983","Eukaryota","Bacillariophyta","c_000003392349"
"","251","0.4571","21908","1.1405","Eukaryota","Bacillariophyta","c_000003050633"
"","252","0.4591","33429","1.2706","Eukaryota","Bacillariophyta","c_000003378443"
"","253","0.4507","6905","1.1031","Eukaryota","Bacillariophyta","c_000003280143"
"","254","0.4717","18103","1.1765","Eukaryota","Bacillariophyta","c_000003593650"
"","255","0.4516","5173","1.0593","Eukaryota","Bacillariophyta","c_000004012314"
"","256","0.457","6635","1.7558","Eukaryota","Bacillariophyta","c_000000316215"
"","257","0.4567","11213","1.4697","Eukaryota","Bacillariophyta","c_000000840827"
"","258","0.4654","6281","1.6677","Eukaryota","Bacillariophyta","c_000001263055"
"","259","0.4631","10652","1.3084","Eukaryota","Bacillariophyta","c_000001158392"
"","260","0.4518","5268","1.0554","Eukaryota","Bacillariophyta","c_000002616310"
"","261","0.4613","6514","1.9804","Eukaryota","Bacillariophyta","c_000004553407"
"","262","0.4542","5381","1.7222","Eukaryota","Bacillariophyta","c_000003469972"
"","263","0.4546","6595","1.3823","no-hit","no-hit","c_000003646596"
"","264","0.4489","6815","0.9478","Eukaryota","Bacillariophyta","c_000005388987"
"","265","0.4581","6575","0.8878","Eukaryota","Bacillariophyta","c_000002215751"
"","266","0.4592","7773","1.4095","Eukaryota","Bacillariophyta","c_000000992423"
"","267","0.4524","9093","1.2873","Eukaryota","Bacillariophyta","c_000005452413"
"","268","0.453","4488","1.7369","Eukaryota","Bacillariophyta","c_000001704200"
"","269","0.4445","5467","3.5356","Eukaryota","Bacillariophyta","c_000003886226"
"","270","0.46","41499","1.2622","Eukaryota","Bacillariophyta","c_000004484695"
"","271","0.46","8667","1.2986","Eukaryota","Bacillariophyta","c_000001439949"
"","272","0.4648","5721","0.9923","no-hit","no-hit","c_000001338355"
"","273","0.4547","12000","4.4427","Eukaryota","Bacillariophyta","c_000003614163"
"","274","0.4638","5200","1.3915","Eukaryota","Rhodophyta","c_000000769269"
"","275","0.4586","9052","1.1119","Eukaryota","Bacillariophyta","c_000001908900"
"","276","0.473","8102","1.8941","Eukaryota","Bacillariophyta","c_000001872649"
"","277","0.4551","15915","1.3816","Eukaryota","Bacillariophyta","c_000002038957"
"","278","0.4693","12538","0.8404","Eukaryota","Bacillariophyta","c_000002791145"
"","279","0.4454","11796","1.3138","Eukaryota","Bacillariophyta","c_000003328754"
"","280","0.456","6895","1.5075","Eukaryota","Bacillariophyta","c_000000458369"
"","281","0.4488","11692","3.524","no-hit","no-hit","c_000001065404"
"","282","0.45","5798","1.6137","Eukaryota","Bacillariophyta","c_000002696656"
"","283","0.4636","11145","1.2577","Eukaryota","Bacillariophyta","c_000004877292"
"","284","0.4553","46649","1.5758","Eukaryota","Bacillariophyta","c_000000147250"
"","285","0.4663","10162","1.1986","Eukaryota","Bacillariophyta","c_000002285608"
"","286","0.4578","90754","1.4905","Eukaryota","Bacillariophyta","c_000004265678"
"","287","0.4884","5532","0.7533","Eukaryota","Bacillariophyta","c_000003365703"
"","288","0.4702","12371","1.3981","Eukaryota","Bacillariophyta","c_000004376321"
"","289","0.4496","12540","1.6521","no-hit","no-hit","c_000000246388"
"","290","0.4688","7569","0.8305","Eukaryota","Bacillariophyta","c_000004259669"
"","291","0.4567","5546","1.161","Eukaryota","Bacillariophyta","c_000005350124"
"","292","0.4556","24215","1.5456","Eukaryota","Bacillariophyta","c_000001275678"
"","293","0.4513","9987","0.8228","Eukaryota","Bacillariophyta","c_000000772323"
"","294","0.45","21205","1.284","Eukaryota","Bacillariophyta","c_000002284385"
"","295","0.4666","31718","1.1037","Eukaryota","Bacillariophyta","c_000004407939"
"","296","0.461","13670","1.3027","Eukaryota","Bacillariophyta","c_000000066106"
"","297","0.4631","12383","2.8222","Eukaryota","Bacillariophyta","c_000000919847"
"","298","0.4659","69636","1.6009","Eukaryota","Bacillariophyta","c_000001250195"
"","299","0.4619","37405","1.1878","Eukaryota","Bacillariophyta","c_000003147370"
"","300","0.4557","52448","1.1625","Eukaryota","Bacillariophyta","c_000002629122"
"","301","0.45","7297","1.7552","Eukaryota","Bacillariophyta","c_000003894693"
"","302","0.4585","16459","1.1779","Eukaryota","Bacillariophyta","c_000004544678"
"","303","0.4605","40260","1.14","Eukaryota","Bacillariophyta","c_000004018783"
"","304","0.4442","11349","1.4152","Eukaryota","Bacillariophyta","c_000000976932"
"","305","0.4489","13692","0.9821","Eukaryota","Bacillariophyta","c_000002366661"
"","306","0.4694","6577","1.1887","Eukaryota","Bacillariophyta","c_000000582889"
"","307","0.4549","4940","0.9413","Eukaryota","Bacillariophyta","c_000002248054"
"","308","0.4466","8796","1.3565","Eukaryota","Bacillariophyta","c_000002333622"
"","309","0.4833","13564","0.9914","no-hit","no-hit","c_000002735103"
"","310","0.457","6707","1.2852","Eukaryota","Bacillariophyta","c_000000848281"
"","311","0.4601","13047","1.3903","Eukaryota","Bacillariophyta","c_000001692888"
"","312","0.4547","22135","1.2241","Eukaryota","Bacillariophyta","c_000000024366"
"","313","0.4547","3721","1.7436","Eukaryota","Bacillariophyta","c_000001011840"
"","314","0.447","8062","5.1484","Eukaryota","Bacillariophyta","c_000000481603"
"","315","0.4505","4848","1.459","Eukaryota","Bacillariophyta","c_000004084450"
"","316","0.4668","6680","0.9958","Eukaryota","Bacillariophyta","c_000003088949"
"","317","0.4593","41344","1.1752","Eukaryota","Bacillariophyta","c_000003202681"
"","318","0.4638","20733","1.2531","Eukaryota","Bacillariophyta","c_000002054486"
"","319","0.4479","21381","1.3742","Eukaryota","Bacillariophyta","c_000002155419"
"","320","0.4578","32686","1.1863","Eukaryota","Bacillariophyta","c_000002988411"
"","321","0.4548","18946","1.3459","Eukaryota","Bacillariophyta","c_000002178696"
"","322","0.465","5432","1.3741","Eukaryota","Bacillariophyta","c_000003644769"
"","323","0.4605","82449","1.4213","Eukaryota","Bacillariophyta","c_000003879371"
"","324","0.4559","13494","2.9967","Eukaryota","Bacillariophyta","c_000003805265"
"","325","0.4624","10353","1.3289","Eukaryota","Bacillariophyta","c_000001849741"
"","326","0.4504","17344","1.3666","Eukaryota","Bacillariophyta","c_000001860088"
"","327","0.4682","6233","1.675","Eukaryota","Evosea","c_000002359333"
"","328","0.4665","43804","1.6703","Eukaryota","Bacillariophyta","c_000003636672"
"","329","0.4499","5706","4.5706","Eukaryota","Bacillariophyta","c_000001302604"
"","330","0.4631","7124","1.236","Eukaryota","Bacillariophyta","c_000004884145"
"","331","0.4696","7686","1.1271","Eukaryota","Bacillariophyta","c_000000091258"
"","332","0.459","32160","1.3116","Eukaryota","Bacillariophyta","c_000002486393"
"","333","0.4502","5455","1.3758","Eukaryota","Bacillariophyta","c_000004376502"
"","334","0.4545","63404","2.0568","Eukaryota","Bacillariophyta","c_000001655966"
"","335","0.4569","22166","1.5426","Eukaryota","Bacillariophyta","c_000004917810"
"","336","0.4666","17324","1.359","Eukaryota","Bacillariophyta","c_000000983155"
"","337","0.4591","7813","2.1562","Eukaryota","Bacillariophyta","c_000002684498"
"","338","0.4775","7189","1.2927","Eukaryota","Bacillariophyta","c_000001301019"
"","339","0.4578","11296","1.5311","Eukaryota","Bacillariophyta","c_000002499750"
"","340","0.4746","27583","1.2096","Eukaryota","Bacillariophyta","c_000000825578"
"","341","0.4464","6105","1.3684","no-hit","no-hit","c_000004292380"
"","342","0.4707","5316","1.5327","Eukaryota","Bacillariophyta","c_000000540685"
"","343","0.4581","5630","1.3254","Eukaryota","Bacillariophyta","c_000005176837"
"","344","0.4662","4172","0.6894","Eukaryota","Bacillariophyta","c_000000911497"
