"sel","_id","gc","length","W_METABAT__21-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","172","0.5083","7256","14.8687","Eukaryota","Chytridiomycota","c_000002561081"
"","173","0.5008","17362","17.4457","Eukaryota","Chytridiomycota","c_000003597358"
"","174","0.5251","3702","14.2742","Eukaryota","Chytridiomycota","c_000001832517"
"","175","0.4785","18156","17.6798","Eukaryota","Chytridiomycota","c_000000945523"
"","176","0.5038","28326","15.3195","Eukaryota","Mucoromycota","c_000002497160"
"","177","0.509","9951","45.5514","Eukaryota","Chytridiomycota","c_000000342723"
"","178","0.4972","13940","13.4395","Eukaryota","Chytridiomycota","c_000003005523"
"","179","0.4958","2618","39.5565","no-hit","no-hit","c_000000846771"
"","180","0.5575","5257","15.7405","Eukaryota","Chytridiomycota","c_000000649445"
"","181","0.5002","14327","15.4951","Eukaryota","Chytridiomycota","c_000002606366"
"","182","0.496","6195","16.8754","no-hit","no-hit","c_000000792836"
"","183","0.4815","10472","17.6965","Eukaryota","Zoopagomycota","c_000001357319"
"","184","0.48","6585","14.6039","no-hit","no-hit","c_000002603827"
"","185","0.464","6728","16.7629","Eukaryota","Chytridiomycota","c_000003049448"
"","186","0.493","24093","14.8362","Eukaryota","Chytridiomycota","c_000001648632"
"","187","0.5012","2819","18.2114","no-hit","no-hit","c_000000199427"
"","188","0.5021","4210","15.3185","no-hit","no-hit","c_000000316346"
"","189","0.4876","15225","17.065","Eukaryota","Chytridiomycota","c_000000147812"
"","190","0.477","6369","15.3873","Eukaryota","Chytridiomycota","c_000000822458"
"","191","0.4963","17153","15.3813","Eukaryota","Chytridiomycota","c_000002091789"
"","192","0.4594","9789","16.9378","Eukaryota","Chytridiomycota","c_000000103576"
"","193","0.4877","29845","15.166","Eukaryota","Chytridiomycota","c_000002115346"
"","194","0.4863","4211","14.3835","no-hit","no-hit","c_000003415246"
"","195","0.543","4330","10.7949","Eukaryota","Chytridiomycota","c_000005057478"
"","196","0.4622","13274","16.5047","Eukaryota","Chytridiomycota","c_000004963932"
"","197","0.4863","17386","15.1557","Eukaryota","Mucoromycota","c_000002380929"
"","198","0.4901","3448","14.415","no-hit","no-hit","c_000002298695"
"","199","0.4995","18237","39.1349","Eukaryota","Mucoromycota","c_000001782337"
"","200","0.5206","4049","14.6636","no-hit","no-hit","c_000003284554"
"","201","0.5071","9843","14.2456","Eukaryota","Chytridiomycota","c_000000907115"
"","202","0.4925","6032","18.5434","Eukaryota","Chytridiomycota","c_000004390154"
"","203","0.494","12061","15.1361","Eukaryota","Chytridiomycota","c_000003244347"
"","204","0.5073","10549","15.6758","Eukaryota","Chytridiomycota","c_000000382584"
"","205","0.5367","2966","19.4767","Eukaryota","Chytridiomycota","c_000002720555"
"","206","0.5191","6711","22.1948","Eukaryota","Chytridiomycota","c_000003258604"
"","207","0.4854","32871","25.3633","Eukaryota","Chytridiomycota","c_000003412473"
"","208","0.5194","8708","20.1538","Eukaryota","Basidiomycota","c_000004139544"
"","209","0.4854","7942","15.9326","Eukaryota","Zoopagomycota","c_000000718823"
"","210","0.4718","12751","15.8623","Eukaryota","Chytridiomycota","c_000002310263"
"","211","0.4847","7406","15.1492","Eukaryota","Mucoromycota","c_000001115520"
"","212","0.522","4301","15.6938","Eukaryota","Chytridiomycota","c_000000487880"
"","213","0.4584","4642","15.0829","Eukaryota","Chytridiomycota","c_000003664244"
"","214","0.485","4751","13.0638","Eukaryota","Chytridiomycota","c_000000878852"
"","215","0.4962","4829","13.257","no-hit","no-hit","c_000003386002"
"","216","0.5155","4885","15.8903","Eukaryota","Chytridiomycota","c_000000988822"
"","217","0.4801","13590","15.3815","Eukaryota","Chytridiomycota","c_000001882354"
"","218","0.4836","43783","15.9594","Eukaryota","Chytridiomycota","c_000000893713"
"","219","0.5035","15405","18.3139","Eukaryota","Chytridiomycota","c_000000787964"
"","220","0.5101","11116","13.1686","no-hit","no-hit","c_000003876320"
"","221","0.4637","9301","14.2918","Eukaryota","Chytridiomycota","c_000003582965"
"","222","0.5155","6560","14.3047","Eukaryota","Chytridiomycota","c_000000046259"
"","223","0.4761","100805","17.258","Eukaryota","Chytridiomycota","c_000001936189"
"","224","0.5103","5285","14.8254","Eukaryota","Ascomycota","c_000002147325"
"","225","0.4847","5624","16.3597","Eukaryota","Chytridiomycota","c_000003576529"
"","226","0.4634","9154","19.0787","Eukaryota","Chytridiomycota","c_000001511861"
"","227","0.4945","4287","19.7185","no-hit","no-hit","c_000002190209"
"","228","0.513","15995","15.8003","Eukaryota","Chytridiomycota","c_000001444413"
"","229","0.4831","27729","14.9296","Eukaryota","Chytridiomycota","c_000000481713"
"","230","0.4684","39240","15.9442","Eukaryota","Chytridiomycota","c_000000207363"
"","231","0.4733","8627","25.5497","Eukaryota","Chytridiomycota","c_000000744950"
"","232","0.5142","6248","13.1538","Eukaryota","Basidiomycota","c_000004466037"
"","234","0.4821","17600","15.9891","Eukaryota","Chytridiomycota","c_000000938165"
"","235","0.4809","16428","14.4133","Eukaryota","Chytridiomycota","c_000001757744"
"","236","0.4872","11172","14.099","Eukaryota","Chordata","c_000003550496"
"","237","0.4984","13894","17.3977","Eukaryota","Chytridiomycota","c_000002709359"
"","238","0.5301","2860","12.5612","Eukaryota","Chytridiomycota","c_000003072584"
"","239","0.4981","9594","15.0168","Eukaryota","Chytridiomycota","c_000000508752"
"","240","0.526","13013","14.7161","Eukaryota","Blastocladiomycota","c_000000141556"
"","241","0.4971","6037","14.9614","Eukaryota","Chytridiomycota","c_000001738905"
"","242","0.4949","5381","14.0916","Eukaryota","Chytridiomycota","c_000000366324"
"","243","0.4595","3861","10.8793","no-hit","no-hit","c_000004149621"
"","244","0.4768","3798","27.4753","Eukaryota","Oomycota","c_000001896603"
"","245","0.4719","7786","14.6563","Eukaryota","Chytridiomycota","c_000000928704"
"","246","0.5123","10243","14.6638","Eukaryota","Chytridiomycota","c_000000940767"
"","247","0.4591","16564","15.6221","Eukaryota","Chytridiomycota","c_000000233850"
"","248","0.4775","6333","24.6643","Eukaryota","Basidiomycota","c_000000240775"
"","249","0.4801","17359","15.7874","Eukaryota","Chytridiomycota","c_000000037201"
"","250","0.4675","2507","12.3016","no-hit","no-hit","c_000001123842"
"","251","0.4874","4936","12.4498","Eukaryota","Mucoromycota","c_000003855831"
"","252","0.4778","82176","15.5194","Eukaryota","Chytridiomycota","c_000001459484"
"","253","0.4961","7083","16.0695","Eukaryota","Chytridiomycota","c_000004319845"
"","254","0.4992","8950","19.2397","Eukaryota","Chytridiomycota","c_000000748438"
"","255","0.4926","11747","17.0535","Eukaryota","Chytridiomycota","c_000004622327"
"","256","0.4686","21959","19.6589","Eukaryota","Chytridiomycota","c_000001491578"
"","257","0.4972","14961","15.8483","Eukaryota","Bacillariophyta","c_000001929495"
"","258","0.4879","14749","16.0085","Eukaryota","Chytridiomycota","c_000004921001"
"","260","0.4704","5389","14.7966","Eukaryota","Ascomycota","c_000001447889"
"","261","0.4552","3427","21.1824","no-hit","no-hit","c_000001202448"
"","262","0.4617","4347","14.5891","Eukaryota","Basidiomycota","c_000003254756"
"","263","0.4893","8814","14.8809","Eukaryota","Zoopagomycota","c_000005110204"
"","264","0.5069","7626","13.294","Eukaryota","Chytridiomycota","c_000000185610"
"","265","0.4855","7355","15.8591","Eukaryota","Chytridiomycota","c_000000535765"
"","266","0.4885","20763","15.0256","Eukaryota","Mucoromycota","c_000001026186"
"","267","0.4771","8439","15.0864","Eukaryota","Chytridiomycota","c_000000378182"
"","268","0.5236","2884","21.5589","no-hit","no-hit","c_000001661777"
"","269","0.5188","3489","17.1304","no-hit","no-hit","c_000000181616"
"","270","0.5181","4109","110.8389","Eukaryota","Ascomycota","c_000000250271"
"","271","0.5073","3284","13.7439","Eukaryota","Mucoromycota","c_000003973936"
"","272","0.5317","7869","15.5679","no-hit","no-hit","c_000000021296"
"","273","0.499","9626","15.3625","Eukaryota","Chytridiomycota","c_000001449406"
"","274","0.4932","10109","14.3081","no-hit","no-hit","c_000002607062"
"","275","0.4896","8010","13.6921","Eukaryota","Chytridiomycota","c_000001794598"
"","276","0.5124","12099","15.227","Eukaryota","Chytridiomycota","c_000000210420"
"","277","0.4758","3464","23.1282","no-hit","no-hit","c_000001856451"
"","278","0.5051","5098","18.6177","Eukaryota","Mucoromycota","c_000000413027"
"","279","0.4968","4903","13.5684","Eukaryota","Chytridiomycota","c_000002012262"
"","280","0.5266","8263","17.1867","Eukaryota","Chytridiomycota","c_000003091389"
"","281","0.473","19400","17.0988","Eukaryota","Chytridiomycota","c_000000417765"
"","282","0.5056","9862","16.2515","Eukaryota","Chytridiomycota","c_000001875622"
"","283","0.5166","5985","14.553","Eukaryota","Chytridiomycota","c_000002346719"
"","284","0.4856","61691","15.661","Eukaryota","Chytridiomycota","c_000000698404"
"","285","0.5095","10729","17.3846","Eukaryota","Chytridiomycota","c_000000438734"
"","286","0.4946","3799","16.393","no-hit","no-hit","c_000002077650"
"","287","0.4889","21764","14.5442","Eukaryota","Chytridiomycota","c_000001590571"
"","288","0.4818","4985","15.3117","Eukaryota","Zoopagomycota","c_000000543559"
"","289","0.5419","4704","13.8912","Eukaryota","Chytridiomycota","c_000000497412"
"","290","0.5174","9891","31.0851","Eukaryota","Zoopagomycota","c_000000176801"
"","291","0.4719","11370","31.9014","Eukaryota","Chytridiomycota","c_000000810783"
"","292","0.492","6195","13.17","Eukaryota","Cryptomycota","c_000002170087"
"","293","0.4729","13933","18.4253","Eukaryota","Mucoromycota","c_000002856506"
"","294","0.4608","9077","23.9813","Eukaryota","Chytridiomycota","c_000002722069"
"","295","0.4917","7517","16.0351","Eukaryota","Chytridiomycota","c_000000391324"
"","296","0.4677","16135","15.3711","Eukaryota","Chytridiomycota","c_000003066274"
"","297","0.5136","8500","15.4976","Eukaryota","Chytridiomycota","c_000001965083"
"","298","0.4735","8882","16.2639","no-hit","no-hit","c_000003009038"
"","299","0.4694","8168","19.4854","Eukaryota","Chytridiomycota","c_000002158531"
"","300","0.5102","3632","12.6836","Eukaryota","Chytridiomycota","c_000002870764"
"","301","0.4764","27480","15.9957","Eukaryota","Chytridiomycota","c_000004529236"
"","302","0.4726","19351","19.2832","Eukaryota","Chytridiomycota","c_000000311131"
"","303","0.5288","6694","15.3061","no-hit","no-hit","c_000000377008"
"","304","0.4851","4084","74.1729","no-hit","no-hit","c_000000970772"
"","305","0.5484","4318","16.8187","Eukaryota","Chytridiomycota","c_000000246691"
"","306","0.4756","15312","16.5439","Eukaryota","Mucoromycota","c_000001171763"
"","307","0.5313","10220","15.1303","Eukaryota","Chytridiomycota","c_000000465885"
"","308","0.4753","12714","15.3527","Eukaryota","Zoopagomycota","c_000001650794"
"","309","0.4611","3268","13.4128","Eukaryota","Chytridiomycota","c_000002688110"
"","310","0.4673","4216","17.6309","Eukaryota","Oomycota","c_000003741689"
"","311","0.474","7799","16.786","Eukaryota","Chytridiomycota","c_000004528278"
"","312","0.449","3935","15.984","Eukaryota","Chytridiomycota","c_000003446857"
"","313","0.4925","6341","13.5017","Eukaryota","Chytridiomycota","c_000003837734"
"","314","0.4946","9019","19.0906","no-hit","no-hit","c_000000865078"
"","315","0.4853","18749","14.4481","Eukaryota","Mucoromycota","c_000001171325"
"","316","0.4742","13622","20.0148","Eukaryota","Chytridiomycota","c_000000256927"
"","317","0.4452","19304","16.2148","Eukaryota","Chytridiomycota","c_000003578821"
"","318","0.5256","5234","15.6977","no-hit","no-hit","c_000001065621"
"","319","0.5021","11652","15.3282","Eukaryota","Zoopagomycota","c_000000567821"
"","320","0.5089","4050","17.0743","no-hit","no-hit","c_000001609573"
"","321","0.5009","21031","15.9362","Eukaryota","Mucoromycota","c_000001748389"
"","322","0.4749","15838","14.2046","Eukaryota","Chytridiomycota","c_000003987682"
"","323","0.4869","8870","15.6593","Eukaryota","Chytridiomycota","c_000000285308"
"","324","0.4868","17754","16.253","Eukaryota","Chytridiomycota","c_000003972580"
"","325","0.4823","12460","27.8654","Eukaryota","Chytridiomycota","c_000000005443"
"","326","0.4454","2566","22.9267","Eukaryota","Chytridiomycota","c_000002366256"
"","327","0.4911","100608","15.7921","Eukaryota","Chytridiomycota","c_000002800637"
"","328","0.4768","18370","16.0132","Eukaryota","Chytridiomycota","c_000000886284"
"","329","0.4724","7640","15.5071","Eukaryota","Streptophyta","c_000000925799"
"","330","0.472","10145","15.8474","Eukaryota","Basidiomycota","c_000002367249"
"","332","0.4911","11519","16.1629","no-hit","no-hit","c_000002881104"
"","333","0.4717","23654","14.4399","Eukaryota","Chytridiomycota","c_000002935539"
"","334","0.4887","4451","14.1036","Eukaryota","Mucoromycota","c_000000943568"
"","335","0.477","5914","16.5766","Eukaryota","Chytridiomycota","c_000003765437"
"","336","0.4738","14493","11.2943","Eukaryota","Chordata","c_000000726935"
"","337","0.518","4334","15.6285","Eukaryota","Chytridiomycota","c_000001570142"
"","338","0.4851","10267","15.5182","Eukaryota","Chytridiomycota","c_000000947744"
"","339","0.4847","12662","16.5201","Eukaryota","Eukaryota-undef","c_000002206546"
"","340","0.4715","6764","36.9039","Eukaryota","Chytridiomycota","c_000004945875"
"","341","0.4757","16464","16.1514","Eukaryota","Endomyxa","c_000000578977"
"","342","0.4757","6617","14.7568","Eukaryota","Zoopagomycota","c_000000699361"
"","343","0.5133","3873","17.2246","no-hit","no-hit","c_000001574944"
"","344","0.4926","4149","14.751","no-hit","no-hit","c_000002013951"
"","345","0.4894","6457","23.072","Eukaryota","Chytridiomycota","c_000002490813"
"","346","0.5003","9177","17.3611","Eukaryota","Chytridiomycota","c_000000118367"
"","347","0.4844","13273","32.8141","Eukaryota","Chytridiomycota","c_000002708547"
"","348","0.5112","3582","12.5285","Eukaryota","Chytridiomycota","c_000000058455"
"","349","0.5074","8173","13.9821","Eukaryota","Mucoromycota","c_000001335334"
"","350","0.4659","4108","14.8016","Eukaryota","Ascomycota","c_000001830094"
"","351","0.5079","4036","13.8271","Eukaryota","Chytridiomycota","c_000000595883"
"","352","0.4707","10316","15.3867","Eukaryota","Chytridiomycota","c_000003227998"
